ID,Jenis Sayuran,Tanggal Harga,Musim,Harga Beli Pengepul per Kilogram
1601,Kol,9/24/2021,Kemarau,3400
1602,Buncis,9/24/2021,Kemarau,4400
1603,Sawi Putih,9/25/2021,Kemarau,3300
1604,Cabe Chilli,9/25/2021,Kemarau,26000
1605,Cabe Kriting,9/25/2021,Kemarau,34300
1606,Cabe Rawit,9/25/2021,Kemarau,57300
1607,Kol,9/25/2021,Kemarau,7800
1608,Buncis,9/25/2021,Kemarau,6300
1609,Sawi Putih,9/26/2021,Kemarau,3000
1610,Cabe Chilli,9/26/2021,Kemarau,30000
1611,Cabe Kriting,9/26/2021,Kemarau,35900
1612,Cabe Rawit,9/26/2021,Kemarau,54900
1613,Kol,9/26/2021,Kemarau,9600
1614,Buncis,9/26/2021,Kemarau,1800
1615,Sawi Putih,9/27/2021,Kemarau,2800
1616,Cabe Chilli,9/27/2021,Kemarau,23900
1617,Cabe Kriting,9/27/2021,Kemarau,39200
1618,Cabe Rawit,9/27/2021,Kemarau,42900
1619,Kol,9/27/2021,Kemarau,9300
1620,Buncis,9/27/2021,Kemarau,6100
1621,Sawi Putih,9/28/2021,Kemarau,400
1622,Cabe Chilli,9/28/2021,Kemarau,21100
1623,Cabe Kriting,9/28/2021,Kemarau,42800
1624,Cabe Rawit,9/28/2021,Kemarau,55700
1625,Kol,9/28/2021,Kemarau,4200
1626,Buncis,9/28/2021,Kemarau,5600
1627,Sawi Putih,9/29/2021,Kemarau,1100
1628,Cabe Chilli,9/29/2021,Kemarau,29200
1629,Cabe Kriting,9/29/2021,Kemarau,31400
1630,Cabe Rawit,9/29/2021,Kemarau,69600
1631,Kol,9/29/2021,Kemarau,6000
1632,Buncis,9/29/2021,Kemarau,1800
1633,Sawi Putih,9/30/2021,Kemarau,2300
1634,Cabe Chilli,9/30/2021,Kemarau,26400
1635,Cabe Kriting,9/30/2021,Kemarau,33000
1636,Cabe Rawit,9/30/2021,Kemarau,58900
1637,Kol,9/30/2021,Kemarau,3200
1638,Buncis,9/30/2021,Kemarau,6200
1639,Sawi Putih,10/1/2021,Kemarau,1100
1640,Cabe Chilli,10/1/2021,Kemarau,35400
1641,Cabe Kriting,10/1/2021,Kemarau,35500
1642,Cabe Rawit,10/1/2021,Kemarau,60300
1643,Kol,10/1/2021,Kemarau,9400
1644,Buncis,10/1/2021,Kemarau,3300
1645,Sawi Putih,10/2/2021,Kemarau,3400
1646,Cabe Chilli,10/2/2021,Kemarau,28500
1647,Cabe Kriting,10/2/2021,Kemarau,39600
1648,Cabe Rawit,10/2/2021,Kemarau,64900
1649,Kol,10/2/2021,Kemarau,4000
1650,Buncis,10/2/2021,Kemarau,2700
1651,Sawi Putih,10/3/2021,Kemarau,1800
1652,Cabe Chilli,10/3/2021,Kemarau,22900
1653,Cabe Kriting,10/3/2021,Kemarau,41300
1654,Cabe Rawit,10/3/2021,Kemarau,63900
1655,Kol,10/3/2021,Kemarau,4600
1656,Buncis,10/3/2021,Kemarau,3100
1657,Sawi Putih,10/4/2021,Kemarau,2300
1658,Cabe Chilli,10/4/2021,Kemarau,31000
1659,Cabe Kriting,10/4/2021,Kemarau,31400
1660,Cabe Rawit,10/4/2021,Kemarau,45200
1661,Kol,10/4/2021,Kemarau,8000
1662,Buncis,10/4/2021,Kemarau,2900
1663,Sawi Putih,10/5/2021,Kemarau,2400
1664,Cabe Chilli,10/5/2021,Kemarau,31600
1665,Cabe Kriting,10/5/2021,Kemarau,37600
1666,Cabe Rawit,10/5/2021,Kemarau,59300
1667,Kol,10/5/2021,Kemarau,6300
1668,Buncis,10/5/2021,Kemarau,4500
1669,Sawi Putih,10/6/2021,Kemarau,2100
1670,Cabe Chilli,10/6/2021,Kemarau,25600
1671,Cabe Kriting,10/6/2021,Kemarau,34800
1672,Cabe Rawit,10/6/2021,Kemarau,49900
1673,Kol,10/6/2021,Kemarau,3500
1674,Buncis,10/6/2021,Kemarau,3900
1675,Sawi Putih,10/7/2021,Kemarau,800
1676,Cabe Chilli,10/7/2021,Kemarau,22700
1677,Cabe Kriting,10/7/2021,Kemarau,29000
1678,Cabe Rawit,10/7/2021,Kemarau,65100
1679,Kol,10/7/2021,Kemarau,3600
1680,Buncis,10/7/2021,Kemarau,6000
1681,Sawi Putih,10/8/2021,Kemarau,1800
1682,Cabe Chilli,10/8/2021,Kemarau,28400
1683,Cabe Kriting,10/8/2021,Kemarau,32400
1684,Cabe Rawit,10/8/2021,Kemarau,61700
1685,Kol,10/8/2021,Kemarau,3900
1686,Buncis,10/8/2021,Kemarau,4200
1687,Sawi Putih,10/9/2021,Kemarau,2600
1688,Cabe Chilli,10/9/2021,Kemarau,31500
1689,Cabe Kriting,10/9/2021,Kemarau,34200
1690,Cabe Rawit,10/9/2021,Kemarau,53100
1691,Kol,10/9/2021,Kemarau,3300
1692,Buncis,10/9/2021,Kemarau,5800
1693,Sawi Putih,10/10/2021,Kemarau,900
1694,Cabe Chilli,10/10/2021,Kemarau,28000
1695,Cabe Kriting,10/10/2021,Kemarau,39600
1696,Cabe Rawit,10/10/2021,Kemarau,67000
1697,Kol,10/10/2021,Kemarau,2500
1698,Buncis,10/10/2021,Kemarau,5400
1699,Sawi Putih,10/11/2021,Kemarau,1400
1700,Cabe Chilli,10/11/2021,Kemarau,26700
1701,Cabe Kriting,10/11/2021,Kemarau,34000
1702,Cabe Rawit,10/11/2021,Kemarau,62700
1703,Kol,10/11/2021,Kemarau,4300
1704,Buncis,10/11/2021,Kemarau,2200
1705,Sawi Putih,10/12/2021,Kemarau,2100
1706,Cabe Chilli,10/12/2021,Kemarau,30200
1707,Cabe Kriting,10/12/2021,Kemarau,40600
1708,Cabe Rawit,10/12/2021,Kemarau,54400
1709,Kol,10/12/2021,Kemarau,5300
1710,Buncis,10/12/2021,Kemarau,4300
1711,Sawi Putih,10/13/2021,Kemarau,1100
1712,Cabe Chilli,10/13/2021,Kemarau,30000
1713,Cabe Kriting,10/13/2021,Kemarau,39400
1714,Cabe Rawit,10/13/2021,Kemarau,51200
1715,Kol,10/13/2021,Kemarau,7700
1716,Buncis,10/13/2021,Kemarau,2300
1717,Sawi Putih,10/14/2021,Kemarau,3600
1718,Cabe Chilli,10/14/2021,Kemarau,33400
1719,Cabe Kriting,10/14/2021,Kemarau,43400
1720,Cabe Rawit,10/14/2021,Kemarau,50700
1721,Kol,10/14/2021,Kemarau,8500
1722,Buncis,10/14/2021,Kemarau,3600
1723,Sawi Putih,10/15/2021,Kemarau,2500
1724,Cabe Chilli,10/15/2021,Kemarau,30100
1725,Cabe Kriting,10/15/2021,Kemarau,41400
1726,Cabe Rawit,10/15/2021,Kemarau,67900
1727,Kol,10/15/2021,Kemarau,7600
1728,Buncis,10/15/2021,Kemarau,3900
1729,Sawi Putih,10/16/2021,Kemarau,4000
1730,Cabe Chilli,10/16/2021,Kemarau,33400
1731,Cabe Kriting,10/16/2021,Kemarau,36300
1732,Cabe Rawit,10/16/2021,Kemarau,54100
1733,Kol,10/16/2021,Kemarau,6900
1734,Buncis,10/16/2021,Kemarau,4800
1735,Sawi Putih,10/17/2021,Kemarau,700
1736,Cabe Chilli,10/17/2021,Kemarau,31000
1737,Cabe Kriting,10/17/2021,Kemarau,44700
1738,Cabe Rawit,10/17/2021,Kemarau,69600
1739,Kol,10/17/2021,Kemarau,7700
1740,Buncis,10/17/2021,Kemarau,2200
1741,Sawi Putih,10/18/2021,Kemarau,4200
1742,Cabe Chilli,10/18/2021,Kemarau,30600
1743,Cabe Kriting,10/18/2021,Kemarau,38100
1744,Cabe Rawit,10/18/2021,Kemarau,57900
1745,Kol,10/18/2021,Kemarau,7000
1746,Buncis,10/18/2021,Kemarau,1800
1747,Sawi Putih,10/19/2021,Kemarau,1300
1748,Cabe Chilli,10/19/2021,Kemarau,27600
1749,Cabe Kriting,10/19/2021,Kemarau,32600
1750,Cabe Rawit,10/19/2021,Kemarau,53900
1751,Kol,10/19/2021,Kemarau,5900
1752,Buncis,10/19/2021,Kemarau,2400
1753,Sawi Putih,10/20/2021,Kemarau,4000
1754,Cabe Chilli,10/20/2021,Kemarau,23400
1755,Cabe Kriting,10/20/2021,Kemarau,45100
1756,Cabe Rawit,10/20/2021,Kemarau,61500
1757,Kol,10/20/2021,Kemarau,7400
1758,Buncis,10/20/2021,Kemarau,1500
1759,Sawi Putih,10/21/2021,Kemarau,1100
1760,Cabe Chilli,10/21/2021,Kemarau,28800
1761,Cabe Kriting,10/21/2021,Kemarau,37500
1762,Cabe Rawit,10/21/2021,Kemarau,57400
1763,Kol,10/21/2021,Kemarau,7400
1764,Buncis,10/21/2021,Kemarau,4000
1765,Sawi Putih,10/22/2021,Kemarau,1400
1766,Cabe Chilli,10/22/2021,Kemarau,26700
1767,Cabe Kriting,10/22/2021,Kemarau,35900
1768,Cabe Rawit,10/22/2021,Kemarau,50700
1769,Kol,10/22/2021,Kemarau,3600
1770,Buncis,10/22/2021,Kemarau,3500
1771,Sawi Putih,10/23/2021,Kemarau,3200
1772,Cabe Chilli,10/23/2021,Kemarau,25100
1773,Cabe Kriting,10/23/2021,Kemarau,31300
1774,Cabe Rawit,10/23/2021,Kemarau,47900
1775,Kol,10/23/2021,Kemarau,4000
1776,Buncis,10/23/2021,Kemarau,6200
1777,Sawi Putih,10/24/2021,Kemarau,2700
1778,Cabe Chilli,10/24/2021,Kemarau,24700
1779,Cabe Kriting,10/24/2021,Kemarau,34200
1780,Cabe Rawit,10/24/2021,Kemarau,48900
1781,Kol,10/24/2021,Kemarau,9000
1782,Buncis,10/24/2021,Kemarau,4200
1783,Sawi Putih,10/25/2021,Kemarau,1800
1784,Cabe Chilli,10/25/2021,Kemarau,30800
1785,Cabe Kriting,10/25/2021,Kemarau,34100
1786,Cabe Rawit,10/25/2021,Kemarau,48800
1787,Kol,10/25/2021,Kemarau,5200
1788,Buncis,10/25/2021,Kemarau,4000
1789,Sawi Putih,10/26/2021,Kemarau,1100
1790,Cabe Chilli,10/26/2021,Kemarau,30300
1791,Cabe Kriting,10/26/2021,Kemarau,38500
1792,Cabe Rawit,10/26/2021,Kemarau,40000
1793,Kol,10/26/2021,Kemarau,7800
1794,Buncis,10/26/2021,Kemarau,5300
1795,Sawi Putih,10/27/2021,Kemarau,2800
1796,Cabe Chilli,10/27/2021,Kemarau,27100
1797,Cabe Kriting,10/27/2021,Kemarau,36900
1798,Cabe Rawit,10/27/2021,Kemarau,49400
1799,Kol,10/27/2021,Kemarau,8100
1800,Buncis,10/27/2021,Kemarau,7000
1801,Sawi Putih,10/28/2021,Kemarau,3100
1802,Cabe Chilli,10/28/2021,Kemarau,22800
1803,Cabe Kriting,10/28/2021,Kemarau,29000
1804,Cabe Rawit,10/28/2021,Kemarau,56000
1805,Kol,10/28/2021,Kemarau,7600
1806,Buncis,10/28/2021,Kemarau,4600
1807,Sawi Putih,10/29/2021,Kemarau,2300
1808,Cabe Chilli,10/29/2021,Kemarau,31600
1809,Cabe Kriting,10/29/2021,Kemarau,38100
1810,Cabe Rawit,10/29/2021,Kemarau,60800
1811,Kol,10/29/2021,Kemarau,5000
1812,Buncis,10/29/2021,Kemarau,1700
1813,Sawi Putih,10/30/2021,Kemarau,3200
1814,Cabe Chilli,10/30/2021,Kemarau,29400
1815,Cabe Kriting,10/30/2021,Kemarau,35100
1816,Cabe Rawit,10/30/2021,Kemarau,54100
1817,Kol,10/30/2021,Kemarau,8900
1818,Buncis,10/30/2021,Kemarau,5700
1819,Sawi Putih,10/31/2021,Kemarau,2000
1820,Cabe Chilli,10/31/2021,Kemarau,29200
1821,Cabe Kriting,10/31/2021,Kemarau,36900
1822,Cabe Rawit,10/31/2021,Kemarau,58000
1823,Kol,10/31/2021,Kemarau,9700
1824,Buncis,10/31/2021,Kemarau,3700
1825,Sawi Putih,11/1/2021,Hujan,2000
1826,Cabe Chilli,11/1/2021,Hujan,21200
1827,Cabe Kriting,11/1/2021,Hujan,27900
1828,Cabe Rawit,11/1/2021,Hujan,46400
1829,Kol,11/1/2021,Hujan,5400
1830,Buncis,11/1/2021,Hujan,3800
1831,Sawi Putih,11/2/2021,Hujan,3000
1832,Cabe Chilli,11/2/2021,Hujan,22800
1833,Cabe Kriting,11/2/2021,Hujan,27500
1834,Cabe Rawit,11/2/2021,Hujan,39200
1835,Kol,11/2/2021,Hujan,3300
1836,Buncis,11/2/2021,Hujan,5300
1837,Sawi Putih,11/3/2021,Hujan,900
1838,Cabe Chilli,11/3/2021,Hujan,25400
1839,Cabe Kriting,11/3/2021,Hujan,37900
1840,Cabe Rawit,11/3/2021,Hujan,48600
1841,Kol,11/3/2021,Hujan,3300
1842,Buncis,11/3/2021,Hujan,7000
1843,Sawi Putih,11/4/2021,Hujan,2100
1844,Cabe Chilli,11/4/2021,Hujan,23300
1845,Cabe Kriting,11/4/2021,Hujan,29600
1846,Cabe Rawit,11/4/2021,Hujan,46900
1847,Kol,11/4/2021,Hujan,3800
1848,Buncis,11/4/2021,Hujan,2100
1849,Sawi Putih,11/5/2021,Hujan,3400
1850,Cabe Chilli,11/5/2021,Hujan,28100
1851,Cabe Kriting,11/5/2021,Hujan,25300
1852,Cabe Rawit,11/5/2021,Hujan,43200
1853,Kol,11/5/2021,Hujan,4000
1854,Buncis,11/5/2021,Hujan,3600
1855,Sawi Putih,11/6/2021,Hujan,1300
1856,Cabe Chilli,11/6/2021,Hujan,26700
1857,Cabe Kriting,11/6/2021,Hujan,35600
1858,Cabe Rawit,11/6/2021,Hujan,44400
1859,Kol,11/6/2021,Hujan,6400
1860,Buncis,11/6/2021,Hujan,4700
1861,Sawi Putih,11/7/2021,Hujan,2300
1862,Cabe Chilli,11/7/2021,Hujan,27100
1863,Cabe Kriting,11/7/2021,Hujan,32000
1864,Cabe Rawit,11/7/2021,Hujan,54500
1865,Kol,11/7/2021,Hujan,2200
1866,Buncis,11/7/2021,Hujan,3200
1867,Sawi Putih,11/8/2021,Hujan,1000
1868,Cabe Chilli,11/8/2021,Hujan,32100
1869,Cabe Kriting,11/8/2021,Hujan,27200
1870,Cabe Rawit,11/8/2021,Hujan,44600
1871,Kol,11/8/2021,Hujan,6500
1872,Buncis,11/8/2021,Hujan,4900
1873,Sawi Putih,11/9/2021,Hujan,1700
1874,Cabe Chilli,11/9/2021,Hujan,25500
1875,Cabe Kriting,11/9/2021,Hujan,31200
1876,Cabe Rawit,11/9/2021,Hujan,64500
1877,Kol,11/9/2021,Hujan,3400
1878,Buncis,11/9/2021,Hujan,5000
1879,Sawi Putih,11/10/2021,Hujan,2100
1880,Cabe Chilli,11/10/2021,Hujan,25700
1881,Cabe Kriting,11/10/2021,Hujan,35500
1882,Cabe Rawit,11/10/2021,Hujan,42300
1883,Kol,11/10/2021,Hujan,4200
1884,Buncis,11/10/2021,Hujan,5200
1885,Sawi Putih,11/11/2021,Hujan,3500
1886,Cabe Chilli,11/11/2021,Hujan,31400
1887,Cabe Kriting,11/11/2021,Hujan,34400
1888,Cabe Rawit,11/11/2021,Hujan,57300
1889,Kol,11/11/2021,Hujan,3500
1890,Buncis,11/11/2021,Hujan,3900
1891,Sawi Putih,11/12/2021,Hujan,2700
1892,Cabe Chilli,11/12/2021,Hujan,24500
1893,Cabe Kriting,11/12/2021,Hujan,36500
1894,Cabe Rawit,11/12/2021,Hujan,42100
1895,Kol,11/12/2021,Hujan,1900
1896,Buncis,11/12/2021,Hujan,3900
1897,Sawi Putih,11/13/2021,Hujan,400
1898,Cabe Chilli,11/13/2021,Hujan,23100
1899,Cabe Kriting,11/13/2021,Hujan,30600
1900,Cabe Rawit,11/13/2021,Hujan,56200
1901,Kol,11/13/2021,Hujan,1900
1902,Buncis,11/13/2021,Hujan,5400
1903,Sawi Putih,11/14/2021,Hujan,2300
1904,Cabe Chilli,11/14/2021,Hujan,29200
1905,Cabe Kriting,11/14/2021,Hujan,27500
1906,Cabe Rawit,11/14/2021,Hujan,47700
1907,Kol,11/14/2021,Hujan,6100
1908,Buncis,11/14/2021,Hujan,3300
1909,Sawi Putih,11/15/2021,Hujan,1800
1910,Cabe Chilli,11/15/2021,Hujan,22400
1911,Cabe Kriting,11/15/2021,Hujan,31700
1912,Cabe Rawit,11/15/2021,Hujan,48800
1913,Kol,11/15/2021,Hujan,5800
1914,Buncis,11/15/2021,Hujan,1700
1915,Sawi Putih,11/16/2021,Hujan,3900
1916,Cabe Chilli,11/16/2021,Hujan,23600
1917,Cabe Kriting,11/16/2021,Hujan,32700
1918,Cabe Rawit,11/16/2021,Hujan,44900
1919,Kol,11/16/2021,Hujan,5400
1920,Buncis,11/16/2021,Hujan,2600
1921,Sawi Putih,11/17/2021,Hujan,2600
1922,Cabe Chilli,11/17/2021,Hujan,23000
1923,Cabe Kriting,11/17/2021,Hujan,30700
1924,Cabe Rawit,11/17/2021,Hujan,55400
1925,Kol,11/17/2021,Hujan,5200
1926,Buncis,11/17/2021,Hujan,5200
1927,Sawi Putih,11/18/2021,Hujan,1700
1928,Cabe Chilli,11/18/2021,Hujan,23500
1929,Cabe Kriting,11/18/2021,Hujan,27100
1930,Cabe Rawit,11/18/2021,Hujan,53900
1931,Kol,11/18/2021,Hujan,2200
1932,Buncis,11/18/2021,Hujan,2200
1933,Sawi Putih,11/19/2021,Hujan,2100
1934,Cabe Chilli,11/19/2021,Hujan,21200
1935,Cabe Kriting,11/19/2021,Hujan,31800
1936,Cabe Rawit,11/19/2021,Hujan,40400
1937,Kol,11/19/2021,Hujan,3000
1938,Buncis,11/19/2021,Hujan,5500
1939,Sawi Putih,11/20/2021,Hujan,3100
1940,Cabe Chilli,11/20/2021,Hujan,25800
1941,Cabe Kriting,11/20/2021,Hujan,29600
1942,Cabe Rawit,11/20/2021,Hujan,40600
1943,Kol,11/20/2021,Hujan,5200
1944,Buncis,11/20/2021,Hujan,4900
1945,Sawi Putih,11/21/2021,Hujan,2400
1946,Cabe Chilli,11/21/2021,Hujan,25900
1947,Cabe Kriting,11/21/2021,Hujan,35700
1948,Cabe Rawit,11/21/2021,Hujan,54800
1949,Kol,11/21/2021,Hujan,5000
1950,Buncis,11/21/2021,Hujan,3200
1951,Sawi Putih,11/22/2021,Hujan,3900
1952,Cabe Chilli,11/22/2021,Hujan,24300
1953,Cabe Kriting,11/22/2021,Hujan,33000
1954,Cabe Rawit,11/22/2021,Hujan,49800
1955,Kol,11/22/2021,Hujan,5600
1956,Buncis,11/22/2021,Hujan,3400
1957,Sawi Putih,11/23/2021,Hujan,1000
1958,Cabe Chilli,11/23/2021,Hujan,18400
1959,Cabe Kriting,11/23/2021,Hujan,26600
1960,Cabe Rawit,11/23/2021,Hujan,55200
1961,Kol,11/23/2021,Hujan,5000
1962,Buncis,11/23/2021,Hujan,3500
1963,Sawi Putih,11/24/2021,Hujan,2200
1964,Cabe Chilli,11/24/2021,Hujan,23600
1965,Cabe Kriting,11/24/2021,Hujan,27100
1966,Cabe Rawit,11/24/2021,Hujan,40900
1967,Kol,11/24/2021,Hujan,4900
1968,Buncis,11/24/2021,Hujan,2200
1969,Sawi Putih,11/25/2021,Hujan,1700
1970,Cabe Chilli,11/25/2021,Hujan,23800
1971,Cabe Kriting,11/25/2021,Hujan,34000
1972,Cabe Rawit,11/25/2021,Hujan,51100
1973,Kol,11/25/2021,Hujan,3000
1974,Buncis,11/25/2021,Hujan,6600
1975,Sawi Putih,11/26/2021,Hujan,2200
1976,Cabe Chilli,11/26/2021,Hujan,26200
1977,Cabe Kriting,11/26/2021,Hujan,30200
1978,Cabe Rawit,11/26/2021,Hujan,49600
1979,Kol,11/26/2021,Hujan,6400
1980,Buncis,11/26/2021,Hujan,5600
1981,Sawi Putih,11/27/2021,Hujan,1500
1982,Cabe Chilli,11/27/2021,Hujan,22800
1983,Cabe Kriting,11/27/2021,Hujan,28800
1984,Cabe Rawit,11/27/2021,Hujan,41900
1985,Kol,11/27/2021,Hujan,4000
1986,Buncis,11/27/2021,Hujan,5400
1987,Sawi Putih,11/28/2021,Hujan,600
1988,Cabe Chilli,11/28/2021,Hujan,24600
1989,Cabe Kriting,11/28/2021,Hujan,27400
1990,Cabe Rawit,11/28/2021,Hujan,41800
1991,Kol,11/28/2021,Hujan,4600
1992,Buncis,11/28/2021,Hujan,3300
1993,Sawi Putih,11/29/2021,Hujan,1000
1994,Cabe Chilli,11/29/2021,Hujan,26200
1995,Cabe Kriting,11/29/2021,Hujan,31000
1996,Cabe Rawit,11/29/2021,Hujan,49400
1997,Kol,11/29/2021,Hujan,3000
1998,Buncis,11/29/2021,Hujan,3600
1999,Sawi Putih,11/30/2021,Hujan,2900
2000,Cabe Chilli,11/30/2021,Hujan,18200
2001,Cabe Kriting,11/30/2021,Hujan,30500
2002,Cabe Rawit,11/30/2021,Hujan,48100
2003,Kol,11/30/2021,Hujan,3600
2004,Buncis,11/30/2021,Hujan,7000
2005,Sawi Putih,12/1/2021,Hujan,2000
2006,Cabe Chilli,12/1/2021,Hujan,24800
2007,Cabe Kriting,12/1/2021,Hujan,31800
2008,Cabe Rawit,12/1/2021,Hujan,51000
2009,Kol,12/1/2021,Hujan,2000
2010,Buncis,12/1/2021,Hujan,5000
2011,Sawi Putih,12/2/2021,Hujan,3400
2012,Cabe Chilli,12/2/2021,Hujan,32000
2013,Cabe Kriting,12/2/2021,Hujan,27400
2014,Cabe Rawit,12/2/2021,Hujan,44800
2015,Kol,12/2/2021,Hujan,5000
2016,Buncis,12/2/2021,Hujan,2700
2017,Sawi Putih,12/3/2021,Hujan,500
2018,Cabe Chilli,12/3/2021,Hujan,28600
2019,Cabe Kriting,12/3/2021,Hujan,35900
2020,Cabe Rawit,12/3/2021,Hujan,45700
2021,Kol,12/3/2021,Hujan,5600
2022,Buncis,12/3/2021,Hujan,5100
2023,Sawi Putih,12/4/2021,Hujan,1100
2024,Cabe Chilli,12/4/2021,Hujan,21400
2025,Cabe Kriting,12/4/2021,Hujan,32200
2026,Cabe Rawit,12/4/2021,Hujan,45000
2027,Kol,12/4/2021,Hujan,4600
2028,Buncis,12/4/2021,Hujan,6100
2029,Sawi Putih,12/5/2021,Hujan,3300
2030,Cabe Chilli,12/5/2021,Hujan,30900
2031,Cabe Kriting,12/5/2021,Hujan,32100
2032,Cabe Rawit,12/5/2021,Hujan,43000
2033,Kol,12/5/2021,Hujan,5800
2034,Buncis,12/5/2021,Hujan,2700
2035,Sawi Putih,12/6/2021,Hujan,4000
2036,Cabe Chilli,12/6/2021,Hujan,29000
2037,Cabe Kriting,12/6/2021,Hujan,24400
2038,Cabe Rawit,12/6/2021,Hujan,45800
2039,Kol,12/6/2021,Hujan,4400
2040,Buncis,12/6/2021,Hujan,1900
2041,Sawi Putih,12/7/2021,Hujan,3300
2042,Cabe Chilli,12/7/2021,Hujan,20800
2043,Cabe Kriting,12/7/2021,Hujan,31800
2044,Cabe Rawit,12/7/2021,Hujan,40100
2045,Kol,12/7/2021,Hujan,6100
2046,Buncis,12/7/2021,Hujan,4600
2047,Sawi Putih,12/8/2021,Hujan,2700
2048,Cabe Chilli,12/8/2021,Hujan,27400
2049,Cabe Kriting,12/8/2021,Hujan,26900
2050,Cabe Rawit,12/8/2021,Hujan,48700
2051,Kol,12/8/2021,Hujan,6500
2052,Buncis,12/8/2021,Hujan,3300
2053,Sawi Putih,12/9/2021,Hujan,2200
2054,Cabe Chilli,12/9/2021,Hujan,27600
2055,Cabe Kriting,12/9/2021,Hujan,30700
2056,Cabe Rawit,12/9/2021,Hujan,56800
2057,Kol,12/9/2021,Hujan,3900
2058,Buncis,12/9/2021,Hujan,6000
2059,Sawi Putih,12/10/2021,Hujan,3400
2060,Cabe Chilli,12/10/2021,Hujan,23200
2061,Cabe Kriting,12/10/2021,Hujan,33300
2062,Cabe Rawit,12/10/2021,Hujan,39600
2063,Kol,12/10/2021,Hujan,7000
2064,Buncis,12/10/2021,Hujan,2400
2065,Sawi Putih,12/11/2021,Hujan,1200
2066,Cabe Chilli,12/11/2021,Hujan,33400
2067,Cabe Kriting,12/11/2021,Hujan,33400
2068,Cabe Rawit,12/11/2021,Hujan,51200
2069,Kol,12/11/2021,Hujan,1800
2070,Buncis,12/11/2021,Hujan,6500
2071,Sawi Putih,12/12/2021,Hujan,1800
2072,Cabe Chilli,12/12/2021,Hujan,22800
2073,Cabe Kriting,12/12/2021,Hujan,34000
2074,Cabe Rawit,12/12/2021,Hujan,50600
2075,Kol,12/12/2021,Hujan,2600
2076,Buncis,12/12/2021,Hujan,4900
2077,Sawi Putih,12/13/2021,Hujan,2900
2078,Cabe Chilli,12/13/2021,Hujan,23400
2079,Cabe Kriting,12/13/2021,Hujan,30400
2080,Cabe Rawit,12/13/2021,Hujan,57900
2081,Kol,12/13/2021,Hujan,2700
2082,Buncis,12/13/2021,Hujan,4300
2083,Sawi Putih,12/14/2021,Hujan,2400
2084,Cabe Chilli,12/14/2021,Hujan,27700
2085,Cabe Kriting,12/14/2021,Hujan,34900
2086,Cabe Rawit,12/14/2021,Hujan,60100
2087,Kol,12/14/2021,Hujan,4300
2088,Buncis,12/14/2021,Hujan,4500
2089,Sawi Putih,12/15/2021,Hujan,4300
2090,Cabe Chilli,12/15/2021,Hujan,20200
2091,Cabe Kriting,12/15/2021,Hujan,32500
2092,Cabe Rawit,12/15/2021,Hujan,40300
2093,Kol,12/15/2021,Hujan,5200
2094,Buncis,12/15/2021,Hujan,3100
2095,Sawi Putih,12/16/2021,Hujan,2000
2096,Cabe Chilli,12/16/2021,Hujan,23600
2097,Cabe Kriting,12/16/2021,Hujan,31100
2098,Cabe Rawit,12/16/2021,Hujan,42100
2099,Kol,12/16/2021,Hujan,4400
2100,Buncis,12/16/2021,Hujan,2300
2101,Sawi Putih,12/17/2021,Hujan,2900
2102,Cabe Chilli,12/17/2021,Hujan,32000
2103,Cabe Kriting,12/17/2021,Hujan,35100
2104,Cabe Rawit,12/17/2021,Hujan,51200
2105,Kol,12/17/2021,Hujan,3300
2106,Buncis,12/17/2021,Hujan,2000
2107,Sawi Putih,12/18/2021,Hujan,1400
2108,Cabe Chilli,12/18/2021,Hujan,19000
2109,Cabe Kriting,12/18/2021,Hujan,28700
2110,Cabe Rawit,12/18/2021,Hujan,51600
2111,Kol,12/18/2021,Hujan,2700
2112,Buncis,12/18/2021,Hujan,5900
2113,Sawi Putih,12/19/2021,Hujan,500
2114,Cabe Chilli,12/19/2021,Hujan,28200
2115,Cabe Kriting,12/19/2021,Hujan,28200
2116,Cabe Rawit,12/19/2021,Hujan,40900
2117,Kol,12/19/2021,Hujan,1900
2118,Buncis,12/19/2021,Hujan,2600
2119,Sawi Putih,12/20/2021,Hujan,2200
2120,Cabe Chilli,12/20/2021,Hujan,25500
2121,Cabe Kriting,12/20/2021,Hujan,34300
2122,Cabe Rawit,12/20/2021,Hujan,44200
2123,Kol,12/20/2021,Hujan,3500
2124,Buncis,12/20/2021,Hujan,6200
2125,Sawi Putih,12/21/2021,Hujan,4100
2126,Cabe Chilli,12/21/2021,Hujan,24500
2127,Cabe Kriting,12/21/2021,Hujan,30900
2128,Cabe Rawit,12/21/2021,Hujan,54800
2129,Kol,12/21/2021,Hujan,5600
2130,Buncis,12/21/2021,Hujan,3500
2131,Sawi Putih,12/22/2021,Hujan,2200
2132,Cabe Chilli,12/22/2021,Hujan,25100
2133,Cabe Kriting,12/22/2021,Hujan,36100
2134,Cabe Rawit,12/22/2021,Hujan,49100
2135,Kol,12/22/2021,Hujan,4000
2136,Buncis,12/22/2021,Hujan,1800
2137,Sawi Putih,12/23/2021,Hujan,3600
2138,Cabe Chilli,12/23/2021,Hujan,25500
2139,Cabe Kriting,12/23/2021,Hujan,28000
2140,Cabe Rawit,12/23/2021,Hujan,45500
2141,Kol,12/23/2021,Hujan,5300
2142,Buncis,12/23/2021,Hujan,3700
