Id,Jenis Sayuran,Harga Sayuran per KG,Tanggal Harga,Musim,Harga Pasar
1514,Cabe Chilli,55277,2021-08-05,Kemarau,63402.44796775831
1515,Cabe Kriting,36568,2021-08-05,Kemarau,41388.75852917643
1516,Cabe Rawit,74936,2021-08-05,Kemarau,83507.83093883125
1517,Kol,5094,2021-08-05,Kemarau,5711.110396481834
1518,Buncis,4713,2021-08-05,Kemarau,5293.31294820267
1519,Tomat,9446,2021-08-05,Kemarau,10610.869253360144
1520,Sawi Putih,2904,2021-08-06,Kemarau,3327.663481253442
1521,Cabe Chilli,59636,2021-08-06,Kemarau,67244.49605831085
1522,Cabe Kriting,66360,2021-08-06,Kemarau,76297.3360327529
1523,Cabe Rawit,29589,2021-08-06,Kemarau,33103.48024557884
1524,Kol,6872,2021-08-06,Kemarau,7596.251697266435
1525,Buncis,3860,2021-08-06,Kemarau,4308.933187886549
1526,Tomat,9814,2021-08-06,Kemarau,11015.243971796792
1527,Sawi Putih,4514,2021-08-07,Kemarau,5052.991047242489
1528,Cabe Chilli,39413,2021-08-07,Kemarau,43376.25417553278
1529,Cabe Kriting,27747,2021-08-07,Kemarau,31151.555551664977
1530,Cabe Rawit,67140,2021-08-07,Kemarau,74994.45222579947
1531,Kol,4002,2021-08-07,Kemarau,4537.02850880268
1532,Buncis,2917,2021-08-07,Kemarau,3248.4426822943424
1533,Tomat,7178,2021-08-07,Kemarau,8119.750615621575
1534,Sawi Putih,1158,2021-08-08,Kemarau,1309.128467886531
1535,Cabe Chilli,78476,2021-08-08,Kemarau,89394.01434453827
1536,Cabe Kriting,59976,2021-08-08,Kemarau,68304.74711307405
1537,Cabe Rawit,85912,2021-08-08,Kemarau,94885.33109336003
1538,Kol,5866,2021-08-08,Kemarau,6646.0659197565155
1539,Buncis,5240,2021-08-08,Kemarau,5958.039898157747
1540,Tomat,3629,2021-08-08,Kemarau,4085.2723351020195
1541,Sawi Putih,2875,2021-08-09,Kemarau,3252.293961841433
1542,Cabe Chilli,50438,2021-08-09,Kemarau,55558.029589418344
1543,Cabe Kriting,45073,2021-08-09,Kemarau,51588.247803111706
1544,Cabe Rawit,27625,2021-08-09,Kemarau,30906.77822066328
1545,Kol,4693,2021-08-09,Kemarau,5193.458430138478
1546,Buncis,2292,2021-08-09,Kemarau,2602.011637035584
1547,Tomat,3588,2021-08-09,Kemarau,3989.729244396715
1548,Sawi Putih,4296,2021-08-10,Kemarau,4921.258277280217
1549,Cabe Chilli,73325,2021-08-10,Kemarau,81487.52126081695
1550,Cabe Kriting,50356,2021-08-10,Kemarau,57111.127803319185
1551,Cabe Rawit,36789,2021-08-10,Kemarau,41322.17369746091
1552,Kol,5953,2021-08-10,Kemarau,6606.541406954071
1553,Buncis,7352,2021-08-10,Kemarau,8277.380368323182
1554,Tomat,4155,2021-08-10,Kemarau,4660.061533553319
1555,Sawi Putih,3706,2021-08-11,Kemarau,4208.105577253954
1556,Cabe Chilli,20527,2021-08-11,Kemarau,23176.580673121225
1557,Cabe Kriting,35775,2021-08-11,Kemarau,40505.95177748459
1558,Cabe Rawit,35469,2021-08-11,Kemarau,39423.80891215309
1559,Kol,5456,2021-08-11,Kemarau,6047.3995388420535
1560,Buncis,2474,2021-08-11,Kemarau,2782.325981708948
1561,Tomat,6734,2021-08-11,Kemarau,7713.013336712859
1562,Sawi Putih,2213,2021-08-12,Kemarau,2512.468355679671
1563,Cabe Chilli,40777,2021-08-12,Kemarau,46761.1495976162
1564,Cabe Kriting,78309,2021-08-12,Kemarau,88965.58960277331
1565,Cabe Rawit,55129,2021-08-12,Kemarau,62007.20594247772
1566,Kol,4112,2021-08-12,Kemarau,4586.285724998767
1567,Buncis,2257,2021-08-12,Kemarau,2525.793278040863
1568,Tomat,1480,2021-08-12,Kemarau,1667.4849448999007
1569,Sawi Putih,3228,2021-08-13,Kemarau,3702.1656765241455
1570,Cabe Chilli,44292,2021-08-13,Kemarau,49919.80457241908
1571,Cabe Kriting,68812,2021-08-13,Kemarau,76140.21490173887
1572,Cabe Rawit,72240,2021-08-13,Kemarau,82131.71937550482
1573,Kol,6058,2021-08-13,Kemarau,6891.69841033835
1574,Buncis,7643,2021-08-13,Kemarau,8451.824826287206
1575,Tomat,3813,2021-08-13,Kemarau,4249.602118286565
1576,Sawi Putih,2787,2021-08-14,Kemarau,3130.9695145475325
1577,Cabe Chilli,76200,2021-08-14,Kemarau,84300.29420257955
1578,Cabe Kriting,72681,2021-08-14,Kemarau,83001.91624161271
1579,Cabe Rawit,47966,2021-08-14,Kemarau,52880.94423970053
1580,Kol,6790,2021-08-14,Kemarau,7585.908462725634
1581,Buncis,3828,2021-08-14,Kemarau,4322.475071171506
1582,Tomat,2822,2021-08-14,Kemarau,3211.4402952566597
1583,Sawi Putih,4049,2021-08-15,Kemarau,4458.747600201745
1584,Cabe Chilli,59401,2021-08-15,Kemarau,67163.09285350551
1585,Cabe Kriting,33799,2021-08-15,Kemarau,38200.3593392963
1586,Cabe Rawit,67323,2021-08-15,Kemarau,74211.31040340505
1587,Kol,6054,2021-08-15,Kemarau,6921.815986007987
1588,Buncis,6586,2021-08-15,Kemarau,7368.668922916365
1589,Tomat,6558,2021-08-15,Kemarau,7394.179301115567
1590,Sawi Putih,4428,2021-08-16,Kemarau,4971.276344875431
1591,Cabe Chilli,63221,2021-08-16,Kemarau,70372.54972290236
1592,Cabe Kriting,44644,2021-08-16,Kemarau,49156.39780573189
1593,Cabe Rawit,43786,2021-08-16,Kemarau,50210.820207997414
1594,Kol,7394,2021-08-16,Kemarau,8397.252752594717
1595,Buncis,5569,2021-08-16,Kemarau,6275.747356045516
1596,Tomat,6598,2021-08-16,Kemarau,7426.643309489002
1597,Sawi Putih,2491,2021-08-17,Kemarau,2747.960320856339
1598,Cabe Chilli,40940,2021-08-17,Kemarau,46142.2092442427
1599,Cabe Kriting,76089,2021-08-17,Kemarau,86354.75694604473
1600,Cabe Rawit,48061,2021-08-17,Kemarau,54673.2699234507
1601,Kol,5897,2021-08-17,Kemarau,6774.117550242093
1602,Buncis,2528,2021-08-17,Kemarau,2896.707669639257
1603,Tomat,4386,2021-08-17,Kemarau,4980.153921610987
1604,Sawi Putih,4783,2021-08-18,Kemarau,5280.636543883972
1605,Cabe Chilli,59699,2021-08-18,Kemarau,67494.83429185739
1606,Cabe Kriting,79162,2021-08-18,Kemarau,87604.75043574761
1607,Cabe Rawit,72591,2021-08-18,Kemarau,81851.42399773729
1608,Kol,4481,2021-08-18,Kemarau,5017.131102386438
1609,Buncis,2491,2021-08-18,Kemarau,2848.626477923355
1610,Tomat,5895,2021-08-18,Kemarau,6507.716876128727
1611,Sawi Putih,4857,2021-08-19,Kemarau,5534.032845157303
1612,Cabe Chilli,26529,2021-08-19,Kemarau,29793.476595775137
1613,Cabe Kriting,50336,2021-08-19,Kemarau,56699.396202675736
1614,Cabe Rawit,23652,2021-08-19,Kemarau,26034.11552613999
1615,Kol,2068,2021-08-19,Kemarau,2341.2763174090264
1616,Buncis,6450,2021-08-19,Kemarau,7291.010188374847
1617,Tomat,5478,2021-08-19,Kemarau,6053.36624560907
1618,Sawi Putih,565,2021-08-20,Kemarau,642.255192719865
1619,Cabe Chilli,60056,2021-08-20,Kemarau,66738.37280117013
1620,Cabe Kriting,20442,2021-08-20,Kemarau,22914.359041902942
1621,Cabe Rawit,68106,2021-08-20,Kemarau,75845.0921441801
1622,Kol,7918,2021-08-20,Kemarau,8747.141902035284
1623,Buncis,7552,2021-08-20,Kemarau,8437.256235562758
1624,Tomat,8390,2021-08-20,Kemarau,9581.770732190735
1625,Sawi Putih,4566,2021-08-21,Kemarau,5085.160556981297
1626,Cabe Chilli,29033,2021-08-21,Kemarau,32796.966411936126
1627,Cabe Kriting,56163,2021-08-21,Kemarau,62908.54205126964
1628,Cabe Rawit,74828,2021-08-21,Kemarau,85743.30745040643
1629,Kol,5860,2021-08-21,Kemarau,6495.962552964647
1630,Buncis,2761,2021-08-21,Kemarau,3064.8003211976607
1631,Tomat,3162,2021-08-21,Kemarau,3610.7997246376253
1632,Sawi Putih,3636,2021-08-22,Kemarau,4170.509909611261
1633,Cabe Chilli,30251,2021-08-22,Kemarau,33476.09841585212
1634,Cabe Kriting,72940,2021-08-22,Kemarau,81238.65671546165
1635,Cabe Rawit,87661,2021-08-22,Kemarau,98784.12547539207
1636,Kol,4678,2021-08-22,Kemarau,5354.85789879717
1637,Buncis,3508,2021-08-22,Kemarau,3972.1205395607667
1638,Tomat,1590,2021-08-22,Kemarau,1805.7429506572862
1639,Sawi Putih,4689,2021-08-23,Kemarau,5329.489950701322
1640,Cabe Chilli,42462,2021-08-23,Kemarau,48667.75328004799
1641,Cabe Kriting,40678,2021-08-23,Kemarau,45635.67600098601
1642,Cabe Rawit,59307,2021-08-23,Kemarau,65760.9150630652
1643,Kol,4053,2021-08-23,Kemarau,4567.972198459228
1644,Buncis,6442,2021-08-23,Kemarau,7318.911727509673
1645,Tomat,2706,2021-08-23,Kemarau,3048.031247732667
1646,Sawi Putih,623,2021-08-24,Kemarau,709.0551958859147
1647,Cabe Chilli,33508,2021-08-24,Kemarau,38119.875166311875
1648,Cabe Kriting,49783,2021-08-24,Kemarau,55798.0858483228
1649,Cabe Rawit,75176,2021-08-24,Kemarau,84236.48959644482
1650,Kol,3766,2021-08-24,Kemarau,4219.144769555494
1651,Buncis,2989,2021-08-24,Kemarau,3333.516212824152
1652,Tomat,5704,2021-08-24,Kemarau,6453.539275593223
1653,Sawi Putih,1895,2021-08-25,Kemarau,2131.972219330938
1654,Cabe Chilli,51156,2021-08-25,Kemarau,58108.19154176157
1655,Cabe Kriting,41288,2021-08-25,Kemarau,46245.32063381952
1656,Cabe Rawit,68369,2021-08-25,Kemarau,75423.40509412225
1657,Kol,4163,2021-08-25,Kemarau,4744.759093505382
1658,Buncis,3651,2021-08-25,Kemarau,4031.292386521425
1659,Tomat,3710,2021-08-25,Kemarau,4142.9945193073145
1660,Sawi Putih,4357,2021-08-26,Kemarau,4981.544097865199
1661,Cabe Chilli,37502,2021-08-26,Kemarau,42419.92556386408
1662,Cabe Kriting,55213,2021-08-26,Kemarau,62037.680673381496
1663,Cabe Rawit,41710,2021-08-26,Kemarau,46063.19221474211
1664,Kol,4897,2021-08-26,Kemarau,5573.373747179467
1665,Buncis,7964,2021-08-26,Kemarau,8969.44536470533
1666,Tomat,6332,2021-08-26,Kemarau,7171.104984590779
1667,Sawi Putih,4030,2021-08-27,Kemarau,4466.725099928875
1668,Cabe Chilli,70841,2021-08-27,Kemarau,79067.92816155752
1669,Cabe Kriting,78377,2021-08-27,Kemarau,86806.27979629168
1670,Cabe Rawit,35256,2021-08-27,Kemarau,38892.91453638201
1671,Kol,3538,2021-08-27,Kemarau,3940.5139129423815
1672,Buncis,5083,2021-08-27,Kemarau,5666.936698732973
1673,Tomat,6301,2021-08-27,Kemarau,7033.499971521262
1674,Sawi Putih,1456,2021-08-28,Kemarau,1661.5454879591275
1675,Cabe Chilli,63361,2021-08-28,Kemarau,70020.766823807
1676,Cabe Kriting,51460,2021-08-28,Kemarau,58840.38911743348
1677,Cabe Rawit,80159,2021-08-28,Kemarau,90064.7883154051
1678,Kol,5513,2021-08-28,Kemarau,6066.6824967077155
1679,Buncis,3128,2021-08-28,Kemarau,3514.2051068729543
1680,Tomat,5038,2021-08-28,Kemarau,5764.203841809268
1681,Sawi Putih,1260,2021-08-29,Kemarau,1387.8630451778013
1682,Cabe Chilli,26406,2021-08-29,Kemarau,29572.906666101815
1683,Cabe Kriting,20326,2021-08-29,Kemarau,23334.068736459863
1684,Cabe Rawit,33283,2021-08-29,Kemarau,37678.82956395523
1685,Kol,4358,2021-08-29,Kemarau,4985.562820466082
1686,Buncis,7650,2021-08-29,Kemarau,8604.960734985312
1687,Tomat,9366,2021-08-29,Kemarau,10652.359871224822
1688,Sawi Putih,2067,2021-08-30,Kemarau,2287.8649521625243
1689,Cabe Chilli,33068,2021-08-30,Kemarau,36559.79823555064
1690,Cabe Kriting,70412,2021-08-30,Kemarau,80255.53661297381
1691,Cabe Rawit,90327,2021-08-30,Kemarau,101844.56653146054
1692,Kol,2484,2021-08-30,Kemarau,2734.6926870054235
1693,Buncis,7097,2021-08-30,Kemarau,7938.201941189537
1694,Tomat,9932,2021-08-30,Kemarau,11073.924567016802
1695,Sawi Putih,2381,2021-08-31,Kemarau,2628.914778271036
1696,Cabe Chilli,70778,2021-08-31,Kemarau,78453.93460722273
1697,Cabe Kriting,66488,2021-08-31,Kemarau,73534.31583975077
1698,Cabe Rawit,32083,2021-08-31,Kemarau,36814.29469623869
1699,Kol,5585,2021-08-31,Kemarau,6376.80679958794
1700,Buncis,7095,2021-08-31,Kemarau,8119.263926001511
1701,Tomat,5320,2021-08-31,Kemarau,5960.719442461281
1702,Sawi Putih,3025,2021-09-01,Kemarau,3403.875805803365
1703,Cabe Chilli,59689,2021-09-01,Kemarau,67146.41463848526
1704,Cabe Kriting,35446,2021-09-01,Kemarau,39124.17822008133
1705,Cabe Rawit,30168,2021-09-01,Kemarau,34529.65922005152
1706,Kol,3322,2021-09-01,Kemarau,3689.282330573786
1707,Buncis,2183,2021-09-01,Kemarau,2432.3492524313465
1708,Tomat,3277,2021-09-01,Kemarau,3662.6216945160663
1709,Sawi Putih,4734,2021-09-02,Kemarau,5314.254871003179
1710,Cabe Chilli,34728,2021-09-02,Kemarau,38919.16608267502
1711,Cabe Kriting,70812,2021-09-02,Kemarau,79456.3655266817
1712,Cabe Rawit,73563,2021-09-02,Kemarau,84440.19779258015
1713,Kol,5477,2021-09-02,Kemarau,6147.864903383088
1714,Buncis,7293,2021-09-02,Kemarau,8131.441611684026
1715,Tomat,9789,2021-09-02,Kemarau,10924.446151041391
1716,Sawi Putih,2339,2021-09-03,Kemarau,2684.373465588869
1717,Cabe Chilli,60718,2021-09-03,Kemarau,68209.18416820768
1718,Cabe Kriting,20831,2021-09-03,Kemarau,23027.06796883818
1719,Cabe Rawit,77465,2021-09-03,Kemarau,85398.00649986105
1720,Kol,4457,2021-09-03,Kemarau,5117.272732737623
1721,Buncis,5550,2021-09-03,Kemarau,6198.5325797658115
1722,Tomat,5358,2021-09-03,Kemarau,6060.19018583089
1723,Sawi Putih,4567,2021-09-04,Kemarau,5030.610764968142
1724,Cabe Chilli,73786,2021-09-04,Kemarau,84579.67496312073
1725,Cabe Kriting,52039,2021-09-04,Kemarau,57413.5941196918
1726,Cabe Rawit,22611,2021-09-04,Kemarau,25252.02486445984
1727,Kol,3230,2021-09-04,Kemarau,3613.0073106487844
1728,Buncis,7866,2021-09-04,Kemarau,8822.344021910392
1729,Tomat,4090,2021-09-04,Kemarau,4621.584108900523
1730,Sawi Putih,573,2021-09-05,Kemarau,640.5975882068316
1731,Cabe Chilli,37274,2021-09-05,Kemarau,42696.77776252165
1732,Cabe Kriting,59796,2021-09-05,Kemarau,66562.58212380107
1733,Cabe Rawit,87478,2021-09-05,Kemarau,100006.19535841742
1734,Kol,7898,2021-09-05,Kemarau,9053.786955230707
1735,Buncis,7181,2021-09-05,Kemarau,8141.016498421582
1736,Tomat,1029,2021-09-05,Kemarau,1168.638127099081
1737,Sawi Putih,2875,2021-09-06,Kemarau,3296.4700341465973
1738,Cabe Chilli,43734,2021-09-06,Kemarau,49383.511612548195
1739,Cabe Kriting,44329,2021-09-06,Kemarau,49193.04710603875
1740,Cabe Rawit,46717,2021-09-06,Kemarau,51702.800377550484
1741,Kol,3138,2021-09-06,Kemarau,3495.8264600880498
1742,Buncis,6849,2021-09-06,Kemarau,7571.506401507456
1743,Tomat,9478,2021-09-06,Kemarau,10838.557989391737
1744,Sawi Putih,927,2021-09-07,Kemarau,1030.234479123077
1745,Cabe Chilli,47215,2021-09-07,Kemarau,52765.727905834094
1746,Cabe Kriting,47036,2021-09-07,Kemarau,53468.39390074932
1747,Cabe Rawit,92727,2021-09-07,Kemarau,106593.31325568087
1748,Kol,2091,2021-09-07,Kemarau,2348.9187273752373
1749,Buncis,6108,2021-09-07,Kemarau,6878.315106505955
1750,Tomat,5727,2021-09-07,Kemarau,6567.592272899045
1751,Sawi Putih,753,2021-09-08,Kemarau,832.9442776025239
1752,Cabe Chilli,30180,2021-09-08,Kemarau,34062.40091034213
1753,Cabe Kriting,64356,2021-09-08,Kemarau,73926.51638848601
1754,Cabe Rawit,39367,2021-09-08,Kemarau,44466.72059835311
1755,Kol,5515,2021-09-08,Kemarau,6259.34944615094
1756,Buncis,2727,2021-09-08,Kemarau,3057.5092523900807
1757,Tomat,8175,2021-09-08,Kemarau,9086.989066145663
1758,Sawi Putih,3104,2021-09-09,Kemarau,3491.8391471341424
1759,Cabe Chilli,57679,2021-09-09,Kemarau,65969.54272365374
1760,Cabe Kriting,55329,2021-09-09,Kemarau,63448.05262133876
1761,Cabe Rawit,89157,2021-09-09,Kemarau,102006.29100106498
1762,Kol,7444,2021-09-09,Kemarau,8433.542337392973
1763,Buncis,6719,2021-09-09,Kemarau,7538.216908200723
1764,Tomat,3569,2021-09-09,Kemarau,4076.785528825072
1765,Sawi Putih,4878,2021-09-10,Kemarau,5377.9754708759765
1766,Cabe Chilli,63533,2021-09-10,Kemarau,70182.88917281781
1767,Cabe Kriting,65849,2021-09-10,Kemarau,72859.50640514388
1768,Cabe Rawit,22061,2021-09-10,Kemarau,25209.167375550252
1769,Kol,5333,2021-09-10,Kemarau,5876.983238917146
1770,Buncis,2308,2021-09-10,Kemarau,2592.228735230183
1771,Tomat,7790,2021-09-10,Kemarau,8799.967361587675
1772,Sawi Putih,672,2021-09-11,Kemarau,760.2890784468334
1773,Cabe Chilli,23264,2021-09-11,Kemarau,26569.99882374173
1774,Cabe Kriting,25150,2021-09-11,Kemarau,28432.789959820067
1775,Cabe Rawit,55146,2021-09-11,Kemarau,63295.24345482168
1776,Kol,2927,2021-09-11,Kemarau,3296.175037722895
1777,Buncis,4052,2021-09-11,Kemarau,4615.396513683744
1778,Tomat,6478,2021-09-11,Kemarau,7208.0299023238
1779,Sawi Putih,4618,2021-09-12,Kemarau,5279.087738829152
1780,Cabe Chilli,34395,2021-09-12,Kemarau,38899.45072182138
1781,Cabe Kriting,55186,2021-09-12,Kemarau,62586.28580274044
1782,Cabe Rawit,40582,2021-09-12,Kemarau,44864.1771751273
1783,Kol,7774,2021-09-12,Kemarau,8871.556717850544
1784,Buncis,6593,2021-09-12,Kemarau,7497.168414398756
1785,Tomat,5765,2021-09-12,Kemarau,6618.090898309842
1786,Sawi Putih,1276,2021-09-13,Kemarau,1445.50425745438
1787,Cabe Chilli,44693,2021-09-13,Kemarau,49261.861704927156
1788,Cabe Kriting,58769,2021-09-13,Kemarau,65618.80902859026
1789,Cabe Rawit,43957,2021-09-13,Kemarau,49579.76528760922
1790,Kol,2305,2021-09-13,Kemarau,2548.4448344060934
1791,Buncis,7742,2021-09-13,Kemarau,8882.637499946128
1792,Tomat,3078,2021-09-13,Kemarau,3502.5975711200654
1793,Sawi Putih,1226,2021-09-14,Kemarau,1372.681577492853
1794,Cabe Chilli,50934,2021-09-14,Kemarau,57305.05826157902
1795,Cabe Kriting,21158,2021-09-14,Kemarau,23441.152988367234
1796,Cabe Rawit,94898,2021-09-14,Kemarau,106319.63566048851
1797,Kol,3422,2021-09-14,Kemarau,3812.2798782065443
1798,Buncis,7381,2021-09-14,Kemarau,8443.959820209677
1799,Tomat,5874,2021-09-14,Kemarau,6680.411649328801
1800,Sawi Putih,3927,2021-09-15,Kemarau,4408.388393466289
1801,Cabe Chilli,40019,2021-09-15,Kemarau,44901.52561397506
1802,Cabe Kriting,43753,2021-09-15,Kemarau,50173.014796194715
1803,Cabe Rawit,81025,2021-09-15,Kemarau,89229.15059847805
1804,Kol,7660,2021-09-15,Kemarau,8535.04249062279
1805,Buncis,3864,2021-09-15,Kemarau,4338.764576439846
1806,Tomat,6573,2021-09-15,Kemarau,7416.9927632020435
1807,Sawi Putih,3212,2021-09-16,Kemarau,3620.7083037971597
1808,Cabe Chilli,56469,2021-09-16,Kemarau,64836.8076243466
1809,Cabe Kriting,65972,2021-09-16,Kemarau,73003.91091799818
1810,Cabe Rawit,73685,2021-09-16,Kemarau,83093.52371814642
1811,Kol,2244,2021-09-16,Kemarau,2480.7629950657374
1812,Buncis,5565,2021-09-16,Kemarau,6125.724151381227
1813,Tomat,8284,2021-09-16,Kemarau,9336.415312927773
1814,Sawi Putih,4306,2021-09-17,Kemarau,4748.378419052858
1815,Cabe Chilli,25506,2021-09-17,Kemarau,28615.608947213448
1816,Cabe Kriting,54768,2021-09-17,Kemarau,61968.478200811485
1817,Cabe Rawit,57428,2021-09-17,Kemarau,65406.112300142624
1818,Kol,3208,2021-09-17,Kemarau,3547.1565697142287
1819,Buncis,5840,2021-09-17,Kemarau,6609.367642698203
1820,Tomat,5982,2021-09-17,Kemarau,6638.05277975299
1821,Sawi Putih,1104,2021-09-18,Kemarau,1248.9536350456058
1822,Cabe Chilli,73332,2021-09-18,Kemarau,81249.64077801545
1823,Cabe Kriting,27674,2021-09-18,Kemarau,30844.95370641541
1824,Cabe Rawit,90594,2021-09-18,Kemarau,101122.55245440333
1825,Kol,7650,2021-09-18,Kemarau,8621.264557280487
1826,Buncis,3451,2021-09-18,Kemarau,3884.6158287333083
1827,Tomat,7575,2021-09-18,Kemarau,8553.660082320981
1828,Sawi Putih,4960,2021-09-19,Kemarau,5530.255560912611
1829,Cabe Chilli,44208,2021-09-19,Kemarau,49852.60984420856
1830,Cabe Kriting,52149,2021-09-19,Kemarau,59079.99930511502
1831,Cabe Rawit,32453,2021-09-19,Kemarau,36192.93428428787
1832,Kol,3645,2021-09-19,Kemarau,4022.7146629414005
1833,Buncis,4996,2021-09-19,Kemarau,5734.84102940969
1834,Tomat,4947,2021-09-19,Kemarau,5451.798646177541
1835,Sawi Putih,4099,2021-09-20,Kemarau,4574.820972246623
1836,Cabe Chilli,75525,2021-09-20,Kemarau,85527.34266790502
1837,Cabe Kriting,73893,2021-09-20,Kemarau,84038.73438205892
1838,Cabe Rawit,68299,2021-09-20,Kemarau,75899.45257520003
1839,Kol,2225,2021-09-20,Kemarau,2555.994840238069
1840,Buncis,4121,2021-09-20,Kemarau,4631.313232909658
1841,Tomat,6273,2021-09-20,Kemarau,7024.835909126735
1842,Sawi Putih,560,2021-09-21,Kemarau,616.1898017577072
1843,Cabe Chilli,55176,2021-09-21,Kemarau,62045.03451944792
1844,Cabe Kriting,26443,2021-09-21,Kemarau,29963.502670310976
1845,Cabe Rawit,72681,2021-09-21,Kemarau,81985.03104771048
1846,Kol,5784,2021-09-21,Kemarau,6543.93794702732
1847,Buncis,5583,2021-09-21,Kemarau,6276.49841293769
1848,Tomat,3394,2021-09-21,Kemarau,3761.3632614539624
1849,Sawi Putih,3259,2021-09-22,Kemarau,3707.3413443505297
1850,Cabe Chilli,20227,2021-09-22,Kemarau,22621.806914347373
1851,Cabe Kriting,64439,2021-09-22,Kemarau,73614.2060564975
1852,Cabe Rawit,82616,2021-09-22,Kemarau,91223.51432709715
1853,Kol,2749,2021-09-22,Kemarau,3121.1313253909216
1854,Buncis,7210,2021-09-22,Kemarau,8148.738683321639
1855,Tomat,8217,2021-09-22,Kemarau,9253.758130710228
1856,Sawi Putih,3038,2021-09-23,Kemarau,3436.917434683753
1857,Cabe Chilli,60910,2021-09-23,Kemarau,68415.99392633201
1858,Cabe Kriting,74364,2021-09-23,Kemarau,82838.71886122109
1859,Cabe Rawit,52475,2021-09-23,Kemarau,58214.66095398169
1860,Kol,3650,2021-09-23,Kemarau,4023.2027483644697
1861,Buncis,4251,2021-09-23,Kemarau,4789.02055660178
1862,Tomat,8395,2021-09-23,Kemarau,9597.498467357314
1863,Sawi Putih,3214,2021-09-24,Kemarau,3695.513104908818
1864,Cabe Chilli,67637,2021-09-24,Kemarau,74486.49235926005
1865,Cabe Kriting,32759,2021-09-24,Kemarau,37552.94775777114
1866,Cabe Rawit,74398,2021-09-24,Kemarau,83380.94468890426
1867,Kol,2544,2021-09-24,Kemarau,2916.4826975531287
1868,Buncis,3447,2021-09-24,Kemarau,3917.56167989826
1869,Tomat,1905,2021-09-24,Kemarau,2163.0596446105487
1870,Sawi Putih,2950,2021-09-25,Kemarau,3306.9404325339397
1871,Cabe Chilli,40977,2021-09-25,Kemarau,46225.78401674683
1872,Cabe Kriting,31767,2021-09-25,Kemarau,36464.68707609091
1873,Cabe Rawit,29285,2021-09-25,Kemarau,32684.95020125815
1874,Kol,3355,2021-09-25,Kemarau,3802.5958784004083
1875,Buncis,6767,2021-09-25,Kemarau,7665.413243026435
1876,Tomat,2882,2021-09-25,Kemarau,3280.943666594593
1877,Sawi Putih,2743,2021-09-26,Kemarau,3108.8938781245333
1878,Cabe Chilli,74137,2021-09-26,Kemarau,82175.40157155195
1879,Cabe Kriting,76675,2021-09-26,Kemarau,86311.32340353818
1880,Cabe Rawit,75035,2021-09-26,Kemarau,83249.15051799799
1881,Kol,6970,2021-09-26,Kemarau,7853.05157340171
1882,Buncis,4997,2021-09-26,Kemarau,5581.403329328617
1883,Tomat,3204,2021-09-26,Kemarau,3591.683164475007
1884,Sawi Putih,1923,2021-09-27,Kemarau,2156.529792244785
1885,Cabe Chilli,34564,2021-09-27,Kemarau,38522.11852761599
1886,Cabe Kriting,31385,2021-09-27,Kemarau,34533.37645561651
1887,Cabe Rawit,93382,2021-09-27,Kemarau,104917.02935804497
1888,Kol,2011,2021-09-27,Kemarau,2303.830441824213
1889,Buncis,7028,2021-09-27,Kemarau,7792.602918917557
1890,Tomat,8700,2021-09-27,Kemarau,9678.343601588334
1891,Sawi Putih,863,2021-09-28,Kemarau,953.0036589604617
1892,Cabe Chilli,34508,2021-09-28,Kemarau,38103.18505324513
1893,Cabe Kriting,78496,2021-09-28,Kemarau,87537.61223196879
1894,Cabe Rawit,48294,2021-09-28,Kemarau,53421.32444316676
1895,Kol,4789,2021-09-28,Kemarau,5373.89057819745
1896,Buncis,6202,2021-09-28,Kemarau,7014.4860641584155
1897,Tomat,9844,2021-09-28,Kemarau,11010.475496105706
1898,Sawi Putih,2920,2021-09-29,Kemarau,3344.370223728826
1899,Cabe Chilli,34180,2021-09-29,Kemarau,38486.6961828748
1900,Cabe Kriting,59903,2021-09-29,Kemarau,66243.19195819621
1901,Cabe Rawit,39166,2021-09-29,Kemarau,44694.39797607771
1902,Kol,3013,2021-09-29,Kemarau,3368.6632279443224
1903,Buncis,2287,2021-09-29,Kemarau,2523.362791712378
1904,Tomat,1050,2021-09-29,Kemarau,1160.1983546652364
1905,Sawi Putih,1319,2021-09-30,Kemarau,1451.6152739251697
1906,Cabe Chilli,56590,2021-09-30,Kemarau,64929.83030518114
1907,Cabe Kriting,24359,2021-09-30,Kemarau,27356.819942741466
1908,Cabe Rawit,84161,2021-09-30,Kemarau,95917.38309241172
1909,Kol,4990,2021-09-30,Kemarau,5724.406848636453
1910,Buncis,3735,2021-09-30,Kemarau,4152.035044237919
1911,Tomat,8981,2021-09-30,Kemarau,9960.746560536687
1912,Sawi Putih,1601,2021-10-01,Kemarau,1794.7697485361793
1913,Cabe Chilli,21660,2021-10-01,Kemarau,24833.98098441483
1914,Cabe Kriting,36486,2021-10-01,Kemarau,41524.33480672108
1915,Cabe Rawit,90218,2021-10-01,Kemarau,102806.71332407049
1916,Kol,3885,2021-10-01,Kemarau,4355.220360204225
1917,Buncis,6280,2021-10-01,Kemarau,7130.536048740416
1918,Tomat,7096,2021-10-01,Kemarau,8079.751178339612
1919,Sawi Putih,2086,2021-10-02,Kemarau,2330.639413954759
1920,Cabe Chilli,47843,2021-10-02,Kemarau,52724.919682194275
1921,Cabe Kriting,28012,2021-10-02,Kemarau,31670.058777363094
