ID,Jenis Sayuran,Tanggal Harga,Harga Pengepul per Kilogram,Harga Pasar per Kilogram
1360,Cabe Rawit,2021-08-15,32106,34937.022922423785
1361,Kol,2021-08-15,3412,3657.558613725787
1362,Buncis,2021-08-15,6371,6808.620466721264
1363,Sawi Putih,2021-08-16,3717,3961.854024393667
1364,Cabe Chilli,2021-08-16,22178,24381.57500322249
1365,Cabe Kriting,2021-08-16,62449,66573.58889259117
1366,Cabe Rawit,2021-08-16,60011,64227.14977102141
1367,Kol,2021-08-16,6478,7018.139327188698
1368,Buncis,2021-08-16,2043,2208.4724943261317
1369,Sawi Putih,2021-08-17,1718,1853.9281313584675
1370,Cabe Chilli,2021-08-17,45456,48923.40705696905
1371,Cabe Kriting,2021-08-17,61575,65026.5155063866
1372,Cabe Rawit,2021-08-17,69167,74184.72690218921
1373,Kol,2021-08-17,7831,8437.508601433387
1374,Buncis,2021-08-17,6516,6996.970399201834
1375,Sawi Putih,2021-08-18,1393,1514.623864066165
1376,Cabe Chilli,2021-08-18,35846,37978.04325818553
1377,Cabe Kriting,2021-08-18,30285,32459.65148042406
1378,Cabe Rawit,2021-08-18,30058,31582.15598045931
1379,Kol,2021-08-18,4864,5235.446291512835
1380,Buncis,2021-08-18,5497,5964.720145087258
1381,Sawi Putih,2021-08-19,1828,1996.8776679861298
1382,Cabe Chilli,2021-08-19,53819,57551.98148738685
1383,Cabe Kriting,2021-08-19,55098,58946.9298062771
1384,Cabe Rawit,2021-08-19,26003,28543.395335476038
1385,Kol,2021-08-19,5919,6374.073685324601
1386,Buncis,2021-08-19,2625,2882.306450581768
1387,Sawi Putih,2021-08-20,3654,3903.413692573547
1388,Cabe Chilli,2021-08-20,49612,54167.648080859835
1389,Cabe Kriting,2021-08-20,48982,53833.658952876125
1390,Cabe Rawit,2021-08-20,46585,51098.860703073005
1391,Kol,2021-08-20,3180,3404.0714401633727
1392,Buncis,2021-08-20,2776,2989.140372159111
1393,Sawi Putih,2021-08-21,4998,5363.421916718942
1394,Cabe Chilli,2021-08-21,34173,35911.62054098922
1395,Cabe Kriting,2021-08-21,36300,39733.4900574632
1396,Cabe Rawit,2021-08-21,64349,70269.13215907208
1397,Kol,2021-08-21,6447,7078.976443594157
1398,Buncis,2021-08-21,3753,4102.683338047176
1399,Sawi Putih,2021-08-22,3556,3876.800340434646
1400,Cabe Chilli,2021-08-22,46779,49179.88991010171
1401,Cabe Kriting,2021-08-22,44654,48222.51850682748
1402,Cabe Rawit,2021-08-22,73329,77020.60852688928
1403,Kol,2021-08-22,5507,6017.899140955267
1404,Buncis,2021-08-22,4455,4739.99447163435
1405,Sawi Putih,2021-08-23,2059,2197.109380895386
1406,Cabe Chilli,2021-08-23,36396,39991.8416858403
1407,Cabe Kriting,2021-08-23,29352,30954.12097266021
1408,Cabe Rawit,2021-08-23,23341,24816.661014617068
1409,Kol,2021-08-23,6337,6903.379489249392
1410,Buncis,2021-08-23,4556,4799.34566363014
1411,Sawi Putih,2021-08-24,3350,3625.222544232197
1412,Cabe Chilli,2021-08-24,57908,62651.43913252287
1413,Cabe Kriting,2021-08-24,34182,37365.92315526304
1414,Cabe Rawit,2021-08-24,70513,74295.23203459744
1415,Kol,2021-08-24,4284,4611.296557939035
1416,Buncis,2021-08-24,3405,3619.208968999435
1417,Sawi Putih,2021-08-25,1117,1174.6245314218397
1418,Cabe Chilli,2021-08-25,78212,84837.85904328982
1419,Cabe Kriting,2021-08-25,30317,33243.426191470346
1420,Cabe Rawit,2021-08-25,43246,47350.0584337193
1421,Kol,2021-08-25,5938,6420.600101682729
1422,Buncis,2021-08-25,5262,5744.162659937009
1423,Sawi Putih,2021-08-26,3301,3514.002797176119
1424,Cabe Chilli,2021-08-26,24214,26540.41287552628
1425,Cabe Kriting,2021-08-26,42134,44593.884463264505
1426,Cabe Rawit,2021-08-26,67634,71864.77943659692
1427,Kol,2021-08-26,6749,7197.7372716151895
1428,Buncis,2021-08-26,2409,2565.615642335785
1429,Sawi Putih,2021-08-27,4484,4855.821042586015
1430,Cabe Chilli,2021-08-27,77583,82253.76302647826
1431,Cabe Kriting,2021-08-27,76362,82982.82561787439
1432,Cabe Rawit,2021-08-27,36190,39021.62035947387
1433,Kol,2021-08-27,5919,6251.944063671141
1434,Buncis,2021-08-27,7646,8037.857883544401
1435,Sawi Putih,2021-08-28,2826,3042.015030760061
1436,Cabe Chilli,2021-08-28,51645,54557.326836966415
1437,Cabe Kriting,2021-08-28,75040,80003.28993389382
1438,Cabe Rawit,2021-08-28,76150,81696.5956548187
1439,Kol,2021-08-28,6603,6938.883384721884
1440,Buncis,2021-08-28,5581,5889.870827933719
1441,Sawi Putih,2021-08-29,1102,1211.5049708657248
1442,Cabe Chilli,2021-08-29,36922,39887.35163757053
1443,Cabe Kriting,2021-08-29,76201,82694.52258230334
1444,Cabe Rawit,2021-08-29,45750,49223.16538936825
1445,Kol,2021-08-29,3945,4193.242035245772
1446,Buncis,2021-08-29,4647,4884.837481279335
1447,Sawi Putih,2021-08-30,872,920.4662970686226
1448,Cabe Chilli,2021-08-30,63996,69476.00681573107
1449,Cabe Kriting,2021-08-30,62454,68385.63543482592
1450,Cabe Rawit,2021-08-30,79907,87215.80084313864
1451,Kol,2021-08-30,2348,2503.3097735197225
1452,Buncis,2021-08-30,3801,4118.245524912683
1453,Sawi Putih,2021-08-31,4099,4377.063968038232
1454,Cabe Chilli,2021-08-31,75791,82183.93754704914
1455,Cabe Kriting,2021-08-31,73306,78081.06212177673
1456,Cabe Rawit,2021-08-31,38749,40959.15388314438
1457,Kol,2021-08-31,5745,6068.630108039293
1458,Buncis,2021-08-31,4275,4693.36794257126
1459,Sawi Putih,2021-09-01,1562,1674.2765573273045
1460,Cabe Chilli,2021-09-01,52158,56585.297359729
1461,Cabe Kriting,2021-09-01,44478,48312.53353311206
1462,Cabe Rawit,2021-09-01,26348,28848.02601157017
1463,Kol,2021-09-01,7932,8633.801357432545
1464,Buncis,2021-09-01,6538,6915.22273327959
1465,Sawi Putih,2021-09-02,2521,2662.827978662143
1466,Cabe Chilli,2021-09-02,73743,79836.45699234892
1467,Cabe Kriting,2021-09-02,74680,79539.06578010316
1468,Cabe Rawit,2021-09-02,43639,47264.06729506825
1469,Kol,2021-09-02,2795,3038.4077007275837
1470,Buncis,2021-09-02,5721,6162.764047935823
1471,Sawi Putih,2021-09-03,1387,1513.3324768117034
1472,Cabe Chilli,2021-09-03,34923,37737.59746702601
1473,Cabe Kriting,2021-09-03,73012,77237.61987414704
1474,Cabe Rawit,2021-09-03,26482,28511.291031903555
1475,Kol,2021-09-03,2170,2328.036757313444
1476,Buncis,2021-09-03,7099,7807.094420532793
1477,Sawi Putih,2021-09-04,3407,3642.4888335307105
1478,Cabe Chilli,2021-09-04,21215,23046.482008155243
1479,Cabe Kriting,2021-09-04,31247,33442.34872178383
1480,Cabe Rawit,2021-09-04,33187,35572.07293470533
1481,Kol,2021-09-04,6966,7529.183542618437
1482,Buncis,2021-09-04,3685,4009.7411327548984
1483,Sawi Putih,2021-09-05,3816,4118.738024390701
1484,Cabe Chilli,2021-09-05,75941,81523.05251933288
1485,Cabe Kriting,2021-09-05,70269,75346.2179880393
1486,Cabe Rawit,2021-09-05,45797,50097.656038494315
1487,Kol,2021-09-05,3120,3277.8992345168044
1488,Buncis,2021-09-05,4350,4744.208913810423
1489,Sawi Putih,2021-09-06,2620,2861.742914122666
1490,Cabe Chilli,2021-09-06,73422,77942.84124031768
1491,Cabe Kriting,2021-09-06,41387,43685.21030568235
1492,Cabe Rawit,2021-09-06,56281,61363.13462671342
1493,Kol,2021-09-06,3796,4070.6796368495066
1494,Buncis,2021-09-06,4808,5192.241066200069
1495,Sawi Putih,2021-09-07,3848,4194.86932435797
1496,Cabe Chilli,2021-09-07,39893,43767.201869241355
1497,Cabe Kriting,2021-09-07,49924,53294.12584938025
1498,Cabe Rawit,2021-09-07,25657,26957.412286666306
1499,Kol,2021-09-07,7871,8391.178569151365
1500,Buncis,2021-09-07,2337,2478.8427430354386
1501,Sawi Putih,2021-09-08,3539,3849.8422672928787
1502,Cabe Chilli,2021-09-08,27729,29848.800126261016
1503,Cabe Kriting,2021-09-08,37444,39977.98639430315
1504,Cabe Rawit,2021-09-08,78368,82586.2450845039
1505,Kol,2021-09-08,5470,5904.981551751504
1506,Buncis,2021-09-08,2858,3017.531834787866
1507,Sawi Putih,2021-09-09,1958,2094.6437196766183
1508,Cabe Chilli,2021-09-09,26152,28279.830447355955
1509,Cabe Kriting,2021-09-09,68119,73709.32202626477
1510,Cabe Rawit,2021-09-09,52678,57413.722592952094
1511,Kol,2021-09-09,6032,6634.322750019449
1512,Buncis,2021-09-09,3399,3677.5279615590784
1513,Sawi Putih,2021-09-10,2783,2938.617464508866
1514,Cabe Chilli,2021-09-10,23235,24563.655048151802
1515,Cabe Kriting,2021-09-10,26756,29055.561683146236
1516,Cabe Rawit,2021-09-10,33328,35133.73974730245
1517,Kol,2021-09-10,6925,7594.3277074208
1518,Buncis,2021-09-10,6868,7486.488168254602
1519,Sawi Putih,2021-09-11,828,909.1600076062113
1520,Cabe Chilli,2021-09-11,20103,21448.065586464734
1521,Cabe Kriting,2021-09-11,23124,24944.385225647766
1522,Cabe Rawit,2021-09-11,54364,58305.28548780182
1523,Kol,2021-09-11,5754,6304.344918600334
1524,Buncis,2021-09-11,4581,5010.465873936077
1525,Sawi Putih,2021-09-12,4524,4857.380033931485
1526,Cabe Chilli,2021-09-12,21383,23467.101557043738
1527,Cabe Kriting,2021-09-12,40231,42352.60509561388
1528,Cabe Rawit,2021-09-12,62854,68909.20100850644
1529,Kol,2021-09-12,7259,7765.181259985995
1530,Buncis,2021-09-12,3028,3241.8740562181597
1531,Sawi Putih,2021-09-13,3296,3474.293111283676
1532,Cabe Chilli,2021-09-13,23955,26287.000274074246
1533,Cabe Kriting,2021-09-13,45566,48258.42403321408
1534,Cabe Rawit,2021-09-13,31903,34643.24304146618
1535,Kol,2021-09-13,7811,8506.479754975611
1536,Buncis,2021-09-13,4040,4371.057512416422
1537,Sawi Putih,2021-09-14,1201,1270.3093091132198
1538,Cabe Chilli,2021-09-14,48243,51120.29637399863
1539,Cabe Kriting,2021-09-14,51953,55157.96294389976
1540,Cabe Rawit,2021-09-14,22525,24351.048095073926
1541,Kol,2021-09-14,2700,2847.679872218226
1542,Buncis,2021-09-14,5486,5980.923617247696
1543,Sawi Putih,2021-09-15,993,1089.5849820161943
1544,Cabe Chilli,2021-09-15,65804,70097.5567632867
1545,Cabe Kriting,2021-09-15,35285,37451.790178748815
1546,Cabe Rawit,2021-09-15,55114,60115.03486535192
1547,Kol,2021-09-15,6593,7202.858747464375
1548,Buncis,2021-09-15,6287,6646.180121524087
1549,Sawi Putih,2021-09-16,2105,2250.537260244811
1550,Cabe Chilli,2021-09-16,66981,73186.43993328272
1551,Cabe Kriting,2021-09-16,30107,32265.110793325843
1552,Cabe Rawit,2021-09-16,39371,42415.722695209355
1553,Kol,2021-09-16,7562,8280.79315969329
1554,Buncis,2021-09-16,7437,8174.407361446942
1555,Sawi Putih,2021-09-17,4739,5145.325057143618
1556,Cabe Chilli,2021-09-17,34497,36623.99680876327
1557,Cabe Kriting,2021-09-17,44746,47049.90428987657
1558,Cabe Rawit,2021-09-17,49623,52770.31402860209
1559,Kol,2021-09-17,5218,5620.518568061416
1560,Buncis,2021-09-17,5305,5690.8790861416355
1561,Sawi Putih,2021-09-18,999,1073.270834998305
1562,Cabe Chilli,2021-09-18,36994,40006.7890947936
1563,Cabe Kriting,2021-09-18,31442,33891.2984671146
1564,Cabe Rawit,2021-09-18,26011,28343.67762303128
1565,Kol,2021-09-18,4969,5292.4487271748685
1566,Buncis,2021-09-18,7906,8673.271932934334
1567,Sawi Putih,2021-09-19,4668,5054.807981361851
1568,Cabe Chilli,2021-09-19,46524,49548.75219779376
1569,Cabe Kriting,2021-09-19,69269,73983.4097017847
1570,Cabe Rawit,2021-09-19,29336,30838.440613499857
1571,Kol,2021-09-19,3829,4165.839258820529
1572,Buncis,2021-09-19,4094,4413.347409627326
1573,Sawi Putih,2021-09-20,3151,3343.2727601387537
1574,Cabe Chilli,2021-09-20,79591,86307.15624118723
1575,Cabe Kriting,2021-09-20,58788,63522.54046863794
1576,Cabe Rawit,2021-09-20,72575,79000.10834464978
1577,Kol,2021-09-20,7895,8377.692497296379
1578,Buncis,2021-09-20,2443,2593.1995492509777
1579,Sawi Putih,2021-09-21,4006,4401.63330837849
1580,Cabe Chilli,2021-09-21,44619,47826.06353612139
1581,Cabe Kriting,2021-09-21,33474,36098.28025539278
1582,Cabe Rawit,2021-09-21,41988,45552.895439584696
1583,Kol,2021-09-21,5043,5331.0091412802485
1584,Buncis,2021-09-21,7187,7827.496761065935
1585,Sawi Putih,2021-09-22,3399,3581.1852276571703
1586,Cabe Chilli,2021-09-22,64091,68354.66163680231
1587,Cabe Kriting,2021-09-22,37163,39945.68136573528
1588,Cabe Rawit,2021-09-22,51085,55811.61649427366
1589,Kol,2021-09-22,3461,3641.4184850736124
1590,Buncis,2021-09-22,2245,2424.53576971517
1591,Sawi Putih,2021-09-23,1221,1337.8720900937103
1592,Cabe Chilli,2021-09-23,49756,54091.66464508827
1593,Cabe Kriting,2021-09-23,27770,30280.780064699473
1594,Cabe Rawit,2021-09-23,76193,81955.69260733
1595,Kol,2021-09-23,6143,6554.929020613154
1596,Buncis,2021-09-23,3778,4106.6836794708925
1597,Sawi Putih,2021-09-24,2574,2829.8805429762783
1598,Cabe Chilli,2021-09-24,48158,52864.98468582936
1599,Cabe Kriting,2021-09-24,22729,24001.594507973277
1600,Cabe Rawit,2021-09-24,70894,74529.39395443501
1601,Kol,2021-09-24,2756,2910.2456791144778
1602,Buncis,2021-09-24,5719,6147.718953523042
1603,Sawi Putih,2021-09-25,3698,4050.795081837469
1604,Cabe Chilli,2021-09-25,79047,84097.08032018242
1605,Cabe Kriting,2021-09-25,27865,29962.12451421334
1606,Cabe Rawit,2021-09-25,78363,82955.46776450588
1607,Kol,2021-09-25,6908,7410.694518036312
1608,Buncis,2021-09-25,7673,8189.853019661892
1609,Sawi Putih,2021-09-26,4138,4387.983282500493
1610,Cabe Chilli,2021-09-26,39300,41411.08783787641
1611,Cabe Kriting,2021-09-26,45003,48232.09495838072
1612,Cabe Rawit,2021-09-26,73971,80392.61117411313
1613,Kol,2021-09-26,7935,8606.636396452648
1614,Buncis,2021-09-26,2076,2179.870720237682
1615,Sawi Putih,2021-09-27,3493,3784.7454523010983
1616,Cabe Chilli,2021-09-27,52708,55988.60193086613
1617,Cabe Kriting,2021-09-27,37674,39882.489542810166
1618,Cabe Rawit,2021-09-27,45303,48186.98153412234
1619,Kol,2021-09-27,7215,7690.990072233346
1620,Buncis,2021-09-27,7916,8492.237623096296
1621,Sawi Putih,2021-09-28,515,551.4636231388647
1622,Cabe Chilli,2021-09-28,35180,38215.17745794712
1623,Cabe Kriting,2021-09-28,31229,34181.88598437452
1624,Cabe Rawit,2021-09-28,27915,30414.079850707905
1625,Kol,2021-09-28,3320,3649.049543888482
1626,Buncis,2021-09-28,7287,7891.720622229655
1627,Sawi Putih,2021-09-29,1217,1332.0231813155103
1628,Cabe Chilli,2021-09-29,40829,44314.00793900553
1629,Cabe Kriting,2021-09-29,45302,48151.44957883193
1630,Cabe Rawit,2021-09-29,54347,59179.37491635932
1631,Kol,2021-09-29,5357,5815.15897554052
1632,Buncis,2021-09-29,2167,2360.036557417376
1633,Sawi Putih,2021-09-30,2478,2710.027604916195
1634,Cabe Chilli,2021-09-30,69200,75333.4311610549
1635,Cabe Kriting,2021-09-30,71312,77308.229453321
1636,Cabe Rawit,2021-09-30,79905,87204.69207742886
1637,Kol,2021-09-30,2681,2838.392260371689
1638,Buncis,2021-09-30,7293,7684.268842358243
1639,Sawi Putih,2021-10-01,1300,1385.4259475199135
1640,Cabe Chilli,2021-10-01,64444,69505.05268674
1641,Cabe Kriting,2021-10-01,34198,36282.1539030729
1642,Cabe Rawit,2021-10-01,49433,52755.67060292263
1643,Kol,2021-10-01,7573,8301.349868409408
1644,Buncis,2021-10-01,3885,4210.303337730179
1645,Sawi Putih,2021-10-02,3992,4331.322424712398
1646,Cabe Chilli,2021-10-02,37400,40201.2537398361
1647,Cabe Kriting,2021-10-02,57214,60159.963199762395
1648,Cabe Rawit,2021-10-02,56407,59901.37668576742
1649,Kol,2021-10-02,3552,3867.7912162509306
1650,Buncis,2021-10-02,3243,3515.443129557888
1651,Sawi Putih,2021-10-03,2129,2300.015256472102
1652,Cabe Chilli,2021-10-03,68359,72128.38361366272
1653,Cabe Kriting,2021-10-03,67509,71869.81825481076
1654,Cabe Rawit,2021-10-03,65576,70927.45247080426
1655,Kol,2021-10-03,3780,3996.83031288119
1656,Buncis,2021-10-03,3554,3825.9828802467364
1657,Sawi Putih,2021-10-04,2600,2737.456770048647
1658,Cabe Chilli,2021-10-04,36375,39527.42797062702
1659,Cabe Kriting,2021-10-04,69939,76270.6420982293
1660,Cabe Rawit,2021-10-04,78821,83848.89076411143
1661,Kol,2021-10-04,6680,7019.282634561031
1662,Buncis,2021-10-04,3402,3594.3847164687804
1663,Sawi Putih,2021-10-05,2976,3164.5401083084075
1664,Cabe Chilli,2021-10-05,35483,38021.99784821599
1665,Cabe Kriting,2021-10-05,38342,41101.13065218383
1666,Cabe Rawit,2021-10-05,44551,46891.49079549952
1667,Kol,2021-10-05,5835,6155.645722193066
1668,Buncis,2021-10-05,5587,5936.029686470782
1669,Sawi Putih,2021-10-06,2349,2575.417039137714
1670,Cabe Chilli,2021-10-06,36213,38914.38629767228
1671,Cabe Kriting,2021-10-06,67289,72909.88394445718
1672,Cabe Rawit,2021-10-06,39040,42140.63762184328
1673,Kol,2021-10-06,2797,3075.6378548780744
1674,Buncis,2021-10-06,5262,5702.393108420413
1675,Sawi Putih,2021-10-07,1039,1111.8013728158214
1676,Cabe Chilli,2021-10-07,46819,51470.521374315584
1677,Cabe Kriting,2021-10-07,23551,25695.24010819888
1678,Cabe Rawit,2021-10-07,45599,49949.160138135834
1679,Kol,2021-10-07,2939,3086.9473128958716
1680,Buncis,2021-10-07,7371,7749.906111328942
1681,Sawi Putih,2021-10-08,2490,2663.6285164463757
1682,Cabe Chilli,2021-10-08,41572,44142.32596097115
1683,Cabe Kriting,2021-10-08,48662,53053.217786971225
1684,Cabe Rawit,2021-10-08,33204,36047.695189104896
1685,Kol,2021-10-08,3169,3452.1051649417486
1686,Buncis,2021-10-08,5018,5388.112261435327
1687,Sawi Putih,2021-10-09,2991,3199.190702110551
1688,Cabe Chilli,2021-10-09,60282,65337.52578162454
1689,Cabe Kriting,2021-10-09,54601,58393.16459407895
1690,Cabe Rawit,2021-10-09,45417,47783.45348473138
1691,Kol,2021-10-09,2756,2894.4791530967645
1692,Buncis,2021-10-09,6781,7357.044412219711
1693,Sawi Putih,2021-10-10,1008,1092.8838422080707
1694,Cabe Chilli,2021-10-10,69576,76017.35797804728
1695,Cabe Kriting,2021-10-10,65406,69106.67834162433
1696,Cabe Rawit,2021-10-10,55557,59524.17346833549
1697,Kol,2021-10-10,2062,2241.911013750682
1698,Buncis,2021-10-10,6686,7076.940877608702
1699,Sawi Putih,2021-10-11,1652,1806.9118743704669
1700,Cabe Chilli,2021-10-11,28990,30724.040204528195
1701,Cabe Kriting,2021-10-11,48765,52069.74262061815
1702,Cabe Rawit,2021-10-11,36725,39545.00768887391
1703,Kol,2021-10-11,3794,3998.529011485907
1704,Buncis,2021-10-11,2569,2753.9781591859237
1705,Sawi Putih,2021-10-12,2652,2803.8098130267936
1706,Cabe Chilli,2021-10-12,41553,44310.751486514804
1707,Cabe Kriting,2021-10-12,40211,43470.48741423852
1708,Cabe Rawit,2021-10-12,53244,56725.053483146636
1709,Kol,2021-10-12,4632,4891.697816303711
1710,Buncis,2021-10-12,5289,5728.1627899482455
1711,Sawi Putih,2021-10-13,1340,1409.9808609903853
1712,Cabe Chilli,2021-10-13,76415,83029.35918949363
1713,Cabe Kriting,2021-10-13,26494,27825.604287018872
1714,Cabe Rawit,2021-10-13,25275,27432.72737661744
1715,Kol,2021-10-13,6592,6939.446959025693
1716,Buncis,2021-10-13,3173,3352.0679100184825
1717,Sawi Putih,2021-10-14,4319,4608.942331719744
1718,Cabe Chilli,2021-10-14,26318,27788.12385701489
1719,Cabe Kriting,2021-10-14,53270,55966.56173484662
1720,Cabe Rawit,2021-10-14,38923,42470.30997726191
1721,Kol,2021-10-14,6397,7023.739841770699
1722,Buncis,2021-10-14,4513,4959.448868507828
1723,Sawi Putih,2021-10-15,3004,3220.216524413532
1724,Cabe Chilli,2021-10-15,42880,46472.33857955793
1725,Cabe Kriting,2021-10-15,31538,33836.27461445838
1726,Cabe Rawit,2021-10-15,39849,42211.313729931506
1727,Kol,2021-10-15,6421,6998.92191975334
1728,Buncis,2021-10-15,4654,5048.766122551936
1729,Sawi Putih,2021-10-16,4587,5016.23784523109
1730,Cabe Chilli,2021-10-16,50907,55182.47167863657
1731,Cabe Kriting,2021-10-16,70527,75297.92935707746
1732,Cabe Rawit,2021-10-16,64013,69301.74328936146
1733,Kol,2021-10-16,5369,5822.100440306754
1734,Buncis,2021-10-16,5922,6414.921388454738
1735,Sawi Putih,2021-10-17,922,1002.0123906251788
1736,Cabe Chilli,2021-10-17,53400,56894.11838934935
1737,Cabe Kriting,2021-10-17,64907,70171.91753316265
1738,Cabe Rawit,2021-10-17,60809,64592.993856506146
1739,Kol,2021-10-17,6478,6838.505103319586
1740,Buncis,2021-10-17,2758,2987.409458902063
1741,Sawi Putih,2021-10-18,4900,5377.213459900977
1742,Cabe Chilli,2021-10-18,64029,69749.37339084488
1743,Cabe Kriting,2021-10-18,56388,59744.314074972826
1744,Cabe Rawit,2021-10-18,79210,85023.65833823894
1745,Kol,2021-10-18,6086,6556.081685232679
1746,Buncis,2021-10-18,2165,2364.0211399483105
1747,Sawi Putih,2021-10-19,1548,1696.4355677833073
1748,Cabe Chilli,2021-10-19,40704,44293.720016696694
1749,Cabe Kriting,2021-10-19,29643,31302.36844868665
1750,Cabe Rawit,2021-10-19,72137,77255.22725515904
1751,Kol,2021-10-19,4816,5238.3734704522085
1752,Buncis,2021-10-19,2872,3016.762418708261
1753,Sawi Putih,2021-10-20,4716,5178.981294983956
1754,Cabe Chilli,2021-10-20,25881,27509.02173718303
1755,Cabe Kriting,2021-10-20,25200,26666.08361468693
1756,Cabe Rawit,2021-10-20,29483,31197.864847047047
1757,Kol,2021-10-20,5854,6427.055349851496
1758,Buncis,2021-10-20,2004,2135.5868071924397
1759,Sawi Putih,2021-10-21,1218,1328.0804827820944
1760,Cabe Chilli,2021-10-21,39863,42199.17012135886
1761,Cabe Kriting,2021-10-21,37691,40203.840407873344
1762,Cabe Rawit,2021-10-21,79074,85781.48994526133
1763,Kol,2021-10-21,5666,5969.911856222696
1764,Buncis,2021-10-21,5071,5530.213738037247
1765,Sawi Putih,2021-10-22,1753,1927.6283207725376
1766,Cabe Chilli,2021-10-22,48980,51969.462019919694
1767,Cabe Kriting,2021-10-22,37444,39836.552268454
1768,Cabe Rawit,2021-10-22,48377,51551.250694224094
1769,Kol,2021-10-22,3356,3547.316712377681
1770,Buncis,2021-10-22,4438,4754.745439634786
1771,Sawi Putih,2021-10-23,4112,4473.422523107698
1772,Cabe Chilli,2021-10-23,68429,71922.63736087659
1773,Cabe Kriting,2021-10-23,47286,50100.84710874971
1774,Cabe Rawit,2021-10-23,61794,65266.4111525503
1775,Kol,2021-10-23,3378,3571.5828741812397
1776,Buncis,2021-10-23,7455,8169.2025322500795
1777,Sawi Putih,2021-10-24,3203,3403.298995757946
1778,Cabe Chilli,2021-10-24,65776,70020.59012617108
1779,Cabe Kriting,2021-10-24,40837,44765.81714514533
1780,Cabe Rawit,2021-10-24,26960,29451.196072672195
1781,Kol,2021-10-24,7771,8433.259517945175
1782,Buncis,2021-10-24,4994,5261.645419609306
1783,Sawi Putih,2021-10-25,2192,2353.8388920347234
1784,Cabe Chilli,2021-10-25,44901,47975.94056774822
1785,Cabe Kriting,2021-10-25,52333,55227.83123301234
1786,Cabe Rawit,2021-10-25,76773,83519.95397904456
1787,Kol,2021-10-25,4289,4636.012160605743
1788,Buncis,2021-10-25,5156,5420.2100121655385
1789,Sawi Putih,2021-10-26,1474,1579.5893094252197
1790,Cabe Chilli,2021-10-26,70906,74979.63025175614
1791,Cabe Kriting,2021-10-26,62880,66749.9232083337
1792,Cabe Rawit,2021-10-26,63288,68983.6359671327
1793,Kol,2021-10-26,6372,6878.696011750661
1794,Buncis,2021-10-26,6531,6978.888727898406
1795,Sawi Putih,2021-10-27,3250,3514.9670597232903
1796,Cabe Chilli,2021-10-27,73302,78589.09030009336
1797,Cabe Kriting,2021-10-27,79199,86094.90317429381
1798,Cabe Rawit,2021-10-27,42162,44428.77554648735
1799,Kol,2021-10-27,6914,7322.613404035662
1800,Buncis,2021-10-27,7601,8257.314020372858
1801,Sawi Putih,2021-10-28,3789,4122.106984653386
1802,Cabe Chilli,2021-10-28,30976,33271.05173282269
1803,Cabe Kriting,2021-10-28,35642,38817.32987294531
1804,Cabe Rawit,2021-10-28,29386,31873.181462525055
1805,Kol,2021-10-28,6315,6890.684801618053
1806,Buncis,2021-10-28,5830,6166.18219937846
1807,Sawi Putih,2021-10-29,2822,3098.2045153411227
1808,Cabe Chilli,2021-10-29,57544,61132.24488940469
1809,Cabe Kriting,2021-10-29,33073,35993.20917949039
1810,Cabe Rawit,2021-10-29,79452,85299.42758418867
1811,Kol,2021-10-29,4076,4281.968435280978
1812,Buncis,2021-10-29,2136,2248.576158856307
1813,Sawi Putih,2021-10-30,4161,4422.628002965008
1814,Cabe Chilli,2021-10-30,43218,45548.67303287679
1815,Cabe Kriting,2021-10-30,20325,21854.750733629495
1816,Cabe Rawit,2021-10-30,72266,76528.07574131122
1817,Kol,2021-10-30,6884,7542.44035208878
1818,Buncis,2021-10-30,7176,7875.717608474145
1819,Sawi Putih,2021-10-31,2476,2643.5499767893634
1820,Cabe Chilli,2021-10-31,75611,81751.1523405478
1821,Cabe Kriting,2021-10-31,33639,36804.52390293159
1822,Cabe Rawit,2021-10-31,51438,55417.69619114008
1823,Kol,2021-10-31,7685,8434.209940093788
1824,Buncis,2021-10-31,4737,5072.6594557591
1825,Sawi Putih,2021-11-01,2406,2548.267269164408
1826,Cabe Chilli,2021-11-01,79204,86190.9410687703
1827,Cabe Kriting,2021-11-01,28370,30789.376990463887
1828,Cabe Rawit,2021-11-01,67845,74164.1487804192
1829,Kol,2021-11-01,6374,6793.052384748136
1830,Buncis,2021-11-01,4615,4956.09419656027
1831,Sawi Putih,2021-11-02,3422,3764.0615102862375
1832,Cabe Chilli,2021-11-02,47630,50622.103172671515
1833,Cabe Kriting,2021-11-02,65476,69397.82900596128
1834,Cabe Rawit,2021-11-02,76262,82557.34970733158
1835,Kol,2021-11-02,3779,3997.937840133045
1836,Buncis,2021-11-02,6054,6569.950391145573
1837,Sawi Putih,2021-11-03,1104,1207.5358152449403
1838,Cabe Chilli,2021-11-03,71428,78440.79953376052
1839,Cabe Kriting,2021-11-03,38841,41943.52612299325
1840,Cabe Rawit,2021-11-03,69927,75884.42352824139
1841,Kol,2021-11-03,4286,4683.815346629671
1842,Buncis,2021-11-03,7956,8361.946287546345
1843,Sawi Putih,2021-11-04,2349,2566.5040498098397
1844,Cabe Chilli,2021-11-04,64221,68836.23047242568
1845,Cabe Kriting,2021-11-04,32697,35684.488848331486
1846,Cabe Rawit,2021-11-04,60950,64786.794376026475
1847,Kol,2021-11-04,4814,5075.01875742783
1848,Buncis,2021-11-04,2587,2745.424731321105
1849,Sawi Putih,2021-11-05,4300,4657.868095251337
