ID,Jenis Sayuran,Tanggal Harga,Season,Harga Beli Pengepul per Kilogram,Harga Beli Pasar per Kilogram
1921,Sawi Putih,11/17/2021,Hujan,2612.705693,2918.745992
1922,Cabe Chilli,11/17/2021,Hujan,23038.22491,25117.47105
1923,Cabe Kriting,11/17/2021,Hujan,30741.47325,32578.72798
1924,Cabe Rawit,11/17/2021,Hujan,55423.16499,64185.64813
1925,Kol,11/17/2021,Hujan,5186.891252,5933.682904
1926,Buncis,11/17/2021,Hujan,5185.895294,5619.634744
1927,Sawi Putih,11/18/2021,Hujan,1665.008588,1906.634025
1928,Cabe Chilli,11/18/2021,Hujan,23542.68834,26630.03359
1929,Cabe Kriting,11/18/2021,Hujan,27078.7694,29155.95392
1930,Cabe Rawit,11/18/2021,Hujan,53880.60405,57987.00922
1931,Kol,11/18/2021,Hujan,2217.577663,2363.317672
1932,Buncis,11/18/2021,Hujan,2193.508424,2384.845875
1933,Sawi Putih,11/19/2021,Hujan,2138.369644,2492.60128
1934,Cabe Chilli,11/19/2021,Hujan,21210.13657,23515.08062
1935,Cabe Kriting,11/19/2021,Hujan,31803.14343,34533.13027
1936,Cabe Rawit,11/19/2021,Hujan,40369.60787,44934.40141
1937,Kol,11/19/2021,Hujan,3000.122587,3522.189337
1938,Buncis,11/19/2021,Hujan,5477.627172,6399.448702
1939,Sawi Putih,11/20/2021,Hujan,3096.516275,3576.790517
1940,Cabe Chilli,11/20/2021,Hujan,25755.82405,27159.23767
1941,Cabe Kriting,11/20/2021,Hujan,29554.46122,33431.43698
1942,Cabe Rawit,11/20/2021,Hujan,40571.96043,43751.65277
1943,Kol,11/20/2021,Hujan,5189.541435,5941.016132
1944,Buncis,11/20/2021,Hujan,4905.814353,5751.790535
1945,Sawi Putih,11/21/2021,Hujan,2384.984028,2626.213329
1946,Cabe Chilli,11/21/2021,Hujan,25854.12039,27418.44206
1947,Cabe Kriting,11/21/2021,Hujan,35677.62132,37614.65747
1948,Cabe Rawit,11/21/2021,Hujan,54762.44538,58911.491
1949,Kol,11/21/2021,Hujan,4969.350647,5659.12225
1950,Buncis,11/21/2021,Hujan,3181.733046,3356.60451
1951,Sawi Putih,11/22/2021,Hujan,3908.483047,4231.452548
1952,Cabe Chilli,11/22/2021,Hujan,24337.74406,27527.04397
1953,Cabe Kriting,11/22/2021,Hujan,32954.27332,36222.12649
1954,Cabe Rawit,11/22/2021,Hujan,49826.62319,55182.74061
1955,Kol,11/22/2021,Hujan,5645.968988,6317.108201
1956,Buncis,11/22/2021,Hujan,3429.671124,3661.075965
1957,Sawi Putih,11/23/2021,Hujan,968.9460355,1128.500679
1958,Cabe Chilli,11/23/2021,Hujan,18386.03498,21344.44549
1959,Cabe Kriting,11/23/2021,Hujan,26622.68633,30411.188
1960,Cabe Rawit,11/23/2021,Hujan,55247.10664,62629.36074
1961,Kol,11/23/2021,Hujan,4999.678477,5333.038489
1962,Buncis,11/23/2021,Hujan,3501.411234,3789.240522
1963,Sawi Putih,11/24/2021,Hujan,2158.42943,2346.437251
1964,Cabe Chilli,11/24/2021,Hujan,23591.76899,25777.13415
1965,Cabe Kriting,11/24/2021,Hujan,27102.08125,30767.42363
1966,Cabe Rawit,11/24/2021,Hujan,40932.24555,46764.25776
1967,Kol,11/24/2021,Hujan,4902.330479,5583.609398
1968,Buncis,11/24/2021,Hujan,2156.958541,2310.85666
1969,Sawi Putih,11/25/2021,Hujan,1705.283726,1951.634848
1970,Cabe Chilli,11/25/2021,Hujan,23777.80648,26658.89547
1971,Cabe Kriting,11/25/2021,Hujan,34023.30896,36119.2644
1972,Cabe Rawit,11/25/2021,Hujan,51061.53379,54851.22057
1973,Kol,11/25/2021,Hujan,2991.257287,3490.647347
1974,Buncis,11/25/2021,Hujan,6566.645152,7138.686884
1975,Sawi Putih,11/26/2021,Hujan,2159.109739,2327.433643
1976,Cabe Chilli,11/26/2021,Hujan,26222.6273,27821.77335
1977,Cabe Kriting,11/26/2021,Hujan,30239.77944,33960.31646
1978,Cabe Rawit,11/26/2021,Hujan,49639.28446,56652.69454
1979,Kol,11/26/2021,Hujan,6370.870802,6787.802437
1980,Buncis,11/26/2021,Hujan,5617.247271,6268.689567
1981,Sawi Putih,11/27/2021,Hujan,1515.675393,1606.101483
1982,Cabe Chilli,11/27/2021,Hujan,22760.01505,24536.63675
1983,Cabe Kriting,11/27/2021,Hujan,28800.91508,33688.7918
1984,Cabe Rawit,11/27/2021,Hujan,41868.24834,47872.39826
1985,Kol,11/27/2021,Hujan,4003.529305,4641.891122
1986,Buncis,11/27/2021,Hujan,5445.575721,5909.115675
1987,Sawi Putih,11/28/2021,Hujan,595.7963302,652.8135597
1988,Cabe Chilli,11/28/2021,Hujan,24566.37051,28018.75686
1989,Cabe Kriting,11/28/2021,Hujan,27380.69259,30627.05558
1990,Cabe Rawit,11/28/2021,Hujan,41827.89181,47907.9996
1991,Kol,11/28/2021,Hujan,4551.830646,5255.565198
1992,Buncis,11/28/2021,Hujan,3303.827137,3547.842535
1993,Sawi Putih,11/29/2021,Hujan,1013.045991,1185.822849
1994,Cabe Chilli,11/29/2021,Hujan,26232.00054,30038.0192
1995,Cabe Kriting,11/29/2021,Hujan,30955.80864,34705.70351
1996,Cabe Rawit,11/29/2021,Hujan,49398.77068,51998.93832
1997,Kol,11/29/2021,Hujan,3019.489451,3226.819519
1998,Buncis,11/29/2021,Hujan,3609.812882,4042.429985
1999,Sawi Putih,11/30/2021,Hujan,2945.731594,3233.184946
2000,Cabe Chilli,11/30/2021,Hujan,18188.77777,20707.8
2001,Cabe Kriting,11/30/2021,Hujan,30473.14065,35535.37907
2002,Cabe Rawit,11/30/2021,Hujan,48075.75245,52089.87103
2003,Kol,11/30/2021,Hujan,3569.831348,3796.721356
2004,Buncis,11/30/2021,Hujan,7006.633969,7751.970427
2005,Sawi Putih,12/1/2021,Hujan,1987.600459,2307.439678
2006,Cabe Chilli,12/1/2021,Hujan,24752.05273,28091.54834
2007,Cabe Kriting,12/1/2021,Hujan,31802.24163,33757.23909
2008,Cabe Rawit,12/1/2021,Hujan,51012.34133,58206.09969
2009,Kol,12/1/2021,Hujan,2010.382765,2256.704146
2010,Buncis,12/1/2021,Hujan,4965.144887,5707.85118
2011,Sawi Putih,12/2/2021,Hujan,3450.427925,3664.946319
2012,Cabe Chilli,12/2/2021,Hujan,31959.81592,34299.9609
2013,Cabe Kriting,12/2/2021,Hujan,27398.37888,28845.885
2014,Cabe Rawit,12/2/2021,Hujan,44760.15265,48819.95828
2015,Kol,12/2/2021,Hujan,4965.963228,5585.168455
2016,Buncis,12/2/2021,Hujan,2729.878638,3036.972694
2017,Sawi Putih,12/3/2021,Hujan,458.5122218,497.2390141
2018,Cabe Chilli,12/3/2021,Hujan,28586.35862,30991.35063
2019,Cabe Kriting,12/3/2021,Hujan,35857.28161,40856.16672
2020,Cabe Rawit,12/3/2021,Hujan,45693.64478,51234.12881
2021,Kol,12/3/2021,Hujan,5568.316455,6036.23403
2022,Buncis,12/3/2021,Hujan,5112.647335,5685.740464
2023,Sawi Putih,12/4/2021,Hujan,1098.212053,1197.194675
2024,Cabe Chilli,12/4/2021,Hujan,21404.93913,24053.49109
2025,Cabe Kriting,12/4/2021,Hujan,32248.03528,37382.54992
2026,Cabe Rawit,12/4/2021,Hujan,45025.12404,50137.91344
2027,Kol,12/4/2021,Hujan,4561.541638,4884.659199
2028,Buncis,12/4/2021,Hujan,6128.744685,6871.300031
2029,Sawi Putih,12/5/2021,Hujan,3326.913246,3767.295837
2030,Cabe Chilli,12/5/2021,Hujan,30910.30864,32686.21219
2031,Cabe Kriting,12/5/2021,Hujan,32074.5774,34194.82453
2032,Cabe Rawit,12/5/2021,Hujan,43039.92228,45781.37099
2033,Kol,12/5/2021,Hujan,5820.715428,6554.379535
2034,Buncis,12/5/2021,Hujan,2670.227974,3106.219893
2035,Sawi Putih,12/6/2021,Hujan,4017.098266,4355.7005
2036,Cabe Chilli,12/6/2021,Hujan,29016.10064,30554.47063
2037,Cabe Kriting,12/6/2021,Hujan,24390.08551,27806.03779
2038,Cabe Rawit,12/6/2021,Hujan,45818.9972,48970.51902
2039,Kol,12/6/2021,Hujan,4362.801276,5073.884959
2040,Buncis,12/6/2021,Hujan,1932.889011,2270.265025
2041,Sawi Putih,12/7/2021,Hujan,3293.969037,3649.292896
2042,Cabe Chilli,12/7/2021,Hujan,20769.67679,23744.33513
2043,Cabe Kriting,12/7/2021,Hujan,31814.26557,35334.66597
2044,Cabe Rawit,12/7/2021,Hujan,40135.23414,45617.37976
2045,Kol,12/7/2021,Hujan,6054.514487,6438.930912
2046,Buncis,12/7/2021,Hujan,4619.135627,5287.811269
2047,Sawi Putih,12/8/2021,Hujan,2655.030324,2872.10748
2048,Cabe Chilli,12/8/2021,Hujan,27395.18202,29204.4957
2049,Cabe Kriting,12/8/2021,Hujan,26880.57399,30735.42389
2050,Cabe Rawit,12/8/2021,Hujan,48722.94527,56508.82421
2051,Kol,12/8/2021,Hujan,6526.949449,7504.102494
2052,Buncis,12/8/2021,Hujan,3275.68175,3552.226224
2053,Sawi Putih,12/9/2021,Hujan,2229.389663,2557.326813
2054,Cabe Chilli,12/9/2021,Hujan,27622.85836,31566.78817
2055,Cabe Kriting,12/9/2021,Hujan,30685.57056,35965.47238
2056,Cabe Rawit,12/9/2021,Hujan,56782.30245,62407.46526
2057,Kol,12/9/2021,Hujan,3877.74134,4088.398863
2058,Buncis,12/9/2021,Hujan,6021.305406,6860.055749
2059,Sawi Putih,12/10/2021,Hujan,3391.845417,3918.09847
2060,Cabe Chilli,12/10/2021,Hujan,23166.28861,25842.72253
2061,Cabe Kriting,12/10/2021,Hujan,33335.31112,37354.18774
2062,Cabe Rawit,12/10/2021,Hujan,39634.11564,42530.91954
2063,Kol,12/10/2021,Hujan,7015.35904,7604.837612
2064,Buncis,12/10/2021,Hujan,2376.37965,2786.411959
2065,Sawi Putih,12/11/2021,Hujan,1237.018894,1413.294165
2066,Cabe Chilli,12/11/2021,Hujan,33376.30778,35201.54236
2067,Cabe Kriting,12/11/2021,Hujan,33368.89479,37261.57358
2068,Cabe Rawit,12/11/2021,Hujan,51185.66858,56518.82377
2069,Kol,12/11/2021,Hujan,1815.845783,1953.66943
2070,Buncis,12/11/2021,Hujan,6480.67626,7064.91241
2071,Sawi Putih,12/12/2021,Hujan,1835.733012,2073.679063
2072,Cabe Chilli,12/12/2021,Hujan,22762.6327,25249.91819
2073,Cabe Kriting,12/12/2021,Hujan,33969.67328,36091.4059
2074,Cabe Rawit,12/12/2021,Hujan,50613.53132,56933.29697
2075,Kol,12/12/2021,Hujan,2557.816048,2780.629465
2076,Buncis,12/12/2021,Hujan,4879.033596,5585.198038
2077,Sawi Putih,12/13/2021,Hujan,2897.561727,3405.592996
2078,Cabe Chilli,12/13/2021,Hujan,23366.29512,24813.0522
2079,Cabe Kriting,12/13/2021,Hujan,30356.60813,35189.57762
2080,Cabe Rawit,12/13/2021,Hujan,57922.8184,62164.18168
2081,Kol,12/13/2021,Hujan,2671.842272,3059.518653
2082,Buncis,12/13/2021,Hujan,4294.494107,4547.588975
2083,Sawi Putih,12/14/2021,Hujan,2387.643763,2730.311121
2084,Cabe Chilli,12/14/2021,Hujan,27727.50369,29537.91373
2085,Cabe Kriting,12/14/2021,Hujan,34854.72541,38700.93468
2086,Cabe Rawit,12/14/2021,Hujan,60096.35958,65495.4051
2087,Kol,12/14/2021,Hujan,4284.748499,4870.179272
2088,Buncis,12/14/2021,Hujan,4485.544573,5082.508575
2089,Sawi Putih,12/15/2021,Hujan,4313.532539,4686.620738
2090,Cabe Chilli,12/15/2021,Hujan,20161.5642,22544.31691
2091,Cabe Kriting,12/15/2021,Hujan,32521.70636,37649.814
2092,Cabe Rawit,12/15/2021,Hujan,40263.16134,42387.29405
2093,Kol,12/15/2021,Hujan,5228.506201,5826.036075
2094,Buncis,12/15/2021,Hujan,3065.620982,3291.784564
2095,Sawi Putih,12/16/2021,Hujan,2029.240043,2183.399521
2096,Cabe Chilli,12/16/2021,Hujan,23568.4475,25665.4759
2097,Cabe Kriting,12/16/2021,Hujan,31082.05108,33612.40232
2098,Cabe Rawit,12/16/2021,Hujan,42117.98988,48780.79776
2099,Kol,12/16/2021,Hujan,4441.622523,4870.935516
2100,Buncis,12/16/2021,Hujan,2295.439419,2622.092899
2101,Sawi Putih,12/17/2021,Hujan,2882.36089,3347.862193
2102,Cabe Chilli,12/17/2021,Hujan,32044.47253,34501.16458
2103,Cabe Kriting,12/17/2021,Hujan,35112.96735,38117.20861
2104,Cabe Rawit,12/17/2021,Hujan,51207.87299,59515.16892
2105,Kol,12/17/2021,Hujan,3278.696279,3748.407914
2106,Buncis,12/17/2021,Hujan,1954.245699,2061.271773
2107,Sawi Putih,12/18/2021,Hujan,1432.693883,1509.379951
2108,Cabe Chilli,12/18/2021,Hujan,19008.01628,20846.53316
2109,Cabe Kriting,12/18/2021,Hujan,28708.94806,31464.70605
2110,Cabe Rawit,12/18/2021,Hujan,51625.16209,54496.57096
2111,Kol,12/18/2021,Hujan,2664.109861,3078.365625
2112,Buncis,12/18/2021,Hujan,5906.054905,6574.114759
2113,Sawi Putih,12/19/2021,Hujan,513.7820129,562.834726
2114,Cabe Chilli,12/19/2021,Hujan,28223.19431,30508.27572
2115,Cabe Kriting,12/19/2021,Hujan,28160.04863,31432.61788
2116,Cabe Rawit,12/19/2021,Hujan,40943.05613,45472.92772
2117,Kol,12/19/2021,Hujan,1924.113175,2066.204794
2118,Buncis,12/19/2021,Hujan,2632.270542,3080.83705
2119,Sawi Putih,12/20/2021,Hujan,2187.621868,2392.381233
2120,Cabe Chilli,12/20/2021,Hujan,25548.75914,28066.04207
2121,Cabe Kriting,12/20/2021,Hujan,34318.3727,36265.11735
2122,Cabe Rawit,12/20/2021,Hujan,44220.21829,51425.25573
2123,Kol,12/20/2021,Hujan,3487.896889,4011.26442
2124,Buncis,12/20/2021,Hujan,6217.036264,6823.397326
2125,Sawi Putih,12/21/2021,Hujan,4122.801838,4592.828583
2126,Cabe Chilli,12/21/2021,Hujan,24469.55749,28786.22765
2127,Cabe Kriting,12/21/2021,Hujan,30886.68718,35378.88006
2128,Cabe Rawit,12/21/2021,Hujan,54846.23441,58537.81767
2129,Kol,12/21/2021,Hujan,5647.05032,6403.492156
2130,Buncis,12/21/2021,Hujan,3504.139857,4121.323432
2131,Sawi Putih,12/22/2021,Hujan,2181.920354,2306.280977
2132,Cabe Chilli,12/22/2021,Hujan,25077.54423,27353.70412
2133,Cabe Kriting,12/22/2021,Hujan,36125.14937,38293.65308
2134,Cabe Rawit,12/22/2021,Hujan,49129.32309,55708.24732
2135,Kol,12/22/2021,Hujan,3983.390549,4247.266608
2136,Buncis,12/22/2021,Hujan,1769.080975,1976.249172
2137,Sawi Putih,12/23/2021,Hujan,3627.527539,4007.818413
2138,Cabe Chilli,12/23/2021,Hujan,25484.37984,29180.7354
2139,Cabe Kriting,12/23/2021,Hujan,27979.56635,31698.06592
2140,Cabe Rawit,12/23/2021,Hujan,45545.92824,48880.53174
2141,Kol,12/23/2021,Hujan,5331.036108,6041.644073
2142,Buncis,12/23/2021,Hujan,3654.185674,3933.829657
2143,Sawi Putih,12/24/2021,Hujan,1055.892169,1116.188774
2144,Cabe Chilli,12/24/2021,Hujan,21049.02546,24380.05753
2145,Cabe Kriting,12/24/2021,Hujan,34506.85403,38655.74729
2146,Cabe Rawit,12/24/2021,Hujan,54285.907,60685.7545
2147,Kol,12/24/2021,Hujan,3289.890843,3719.377474
2148,Buncis,12/24/2021,Hujan,5375.97106,5735.555185
2149,Sawi Putih,12/25/2021,Hujan,3731.129554,4361.819809
2150,Cabe Chilli,12/25/2021,Hujan,19723.2375,20847.37713
2151,Cabe Kriting,12/25/2021,Hujan,27414.01937,32003.00104
2152,Cabe Rawit,12/25/2021,Hujan,54678.10009,58670.82688
2153,Kol,12/25/2021,Hujan,2705.331171,2992.602684
2154,Buncis,12/25/2021,Hujan,3477.253185,4083.140666
2155,Sawi Putih,12/26/2021,Hujan,3238.276619,3461.328005
2156,Cabe Chilli,12/26/2021,Hujan,25873.56778,28083.94994
2157,Cabe Kriting,12/26/2021,Hujan,28134.79711,29992.16277
2158,Cabe Rawit,12/26/2021,Hujan,43690.50701,47314.08052
2159,Kol,12/26/2021,Hujan,6981.864351,7485.28791
2160,Buncis,12/26/2021,Hujan,4745.686617,5553.157395
2161,Sawi Putih,12/27/2021,Hujan,3361.800847,3642.435357
2162,Cabe Chilli,12/27/2021,Hujan,23921.21793,25585.11804
2163,Cabe Kriting,12/27/2021,Hujan,30351.34348,34048.94699
2164,Cabe Rawit,12/27/2021,Hujan,42897.03159,45731.91182
2165,Kol,12/27/2021,Hujan,4610.339944,5326.137202
2166,Buncis,12/27/2021,Hujan,4983.893986,5554.671398
2167,Sawi Putih,12/28/2021,Hujan,3135.168623,3309.737995
2168,Cabe Chilli,12/28/2021,Hujan,21710.25752,23306.73491
2169,Cabe Kriting,12/28/2021,Hujan,31762.16429,33945.31819
2170,Cabe Rawit,12/28/2021,Hujan,52435.11106,55360.66029
2171,Kol,12/28/2021,Hujan,4594.605501,4969.314816
2172,Buncis,12/28/2021,Hujan,4585.935047,5157.52768
2173,Sawi Putih,12/29/2021,Hujan,579.453142,637.66039
2174,Cabe Chilli,12/29/2021,Hujan,22133.73595,23681.71595
2175,Cabe Kriting,12/29/2021,Hujan,35524.95958,41753.28873
2176,Cabe Rawit,12/29/2021,Hujan,37306.27581,43769.63085
2177,Kol,12/29/2021,Hujan,2081.027371,2262.721264
2178,Buncis,12/29/2021,Hujan,2587.670882,2857.33485
2179,Sawi Putih,12/30/2021,Hujan,2807.543642,3031.765574
2180,Cabe Chilli,12/30/2021,Hujan,26261.46602,28374.54999
2181,Cabe Kriting,12/30/2021,Hujan,33910.42634,37052.61972
2182,Cabe Rawit,12/30/2021,Hujan,41137.69316,48366.97112
2183,Kol,12/30/2021,Hujan,4198.166987,4545.637715
2184,Buncis,12/30/2021,Hujan,5541.366336,5838.597869
2185,Sawi Putih,12/31/2021,Hujan,1889.955631,1992.554931
2186,Cabe Chilli,12/31/2021,Hujan,26304.90624,30599.84313
2187,Cabe Kriting,12/31/2021,Hujan,31379.25841,33956.31959
2188,Cabe Rawit,12/31/2021,Hujan,47505.8913,55433.172
2189,Kol,12/31/2021,Hujan,6124.093141,6729.51239
2190,Buncis,12/31/2021,Hujan,6563.359707,7354.943104
2191,Sawi Putih,1/1/2022,Hujan,3052.931871,3528.473714
2192,Cabe Chilli,1/1/2022,Hujan,19076.692,21588.08008
2193,Cabe Kriting,1/1/2022,Hujan,25539.51567,29561.55248
2194,Cabe Rawit,1/1/2022,Hujan,36933.40869,41270.52417
2195,Kol,1/1/2022,Hujan,5228.740996,5979.861985
2196,Buncis,1/1/2022,Hujan,6069.971886,6912.103132
2197,Sawi Putih,1/2/2022,Hujan,2073.075932,2201.326305
2198,Cabe Chilli,1/2/2022,Hujan,16473.16454,17990.02435
2199,Cabe Kriting,1/2/2022,Hujan,22921.40086,26198.63467
2200,Cabe Rawit,1/2/2022,Hujan,44517.59531,49490.37219
2201,Kol,1/2/2022,Hujan,2429.104236,2700.250419
2202,Buncis,1/2/2022,Hujan,3121.928189,3296.957413
2203,Sawi Putih,1/3/2022,Hujan,2574.855628,2796.544256
2204,Cabe Chilli,1/3/2022,Hujan,14380.04959,15871.75411
2205,Cabe Kriting,1/3/2022,Hujan,27786.92398,31031.05572
2206,Cabe Rawit,1/3/2022,Hujan,39168.8317,45152.33812
2207,Kol,1/3/2022,Hujan,2730.062497,3157.998443
2208,Buncis,1/3/2022,Hujan,3561.10803,3846.2876
2209,Sawi Putih,1/4/2022,Hujan,3123.228202,3564.32087
2210,Cabe Chilli,1/4/2022,Hujan,19369.188,21542.29546
2211,Cabe Kriting,1/4/2022,Hujan,22431.73592,25584.52393
2212,Cabe Rawit,1/4/2022,Hujan,38721.65649,40844.6098
2213,Kol,1/4/2022,Hujan,3210.520038,3760.680744
2214,Buncis,1/4/2022,Hujan,1812.510697,1988.314367
2215,Sawi Putih,1/5/2022,Hujan,592.870346,644.2058997
2216,Cabe Chilli,1/5/2022,Hujan,17462.91214,18860.39036
2217,Cabe Kriting,1/5/2022,Hujan,28237.58702,29740.01471
2218,Cabe Rawit,1/5/2022,Hujan,29554.10177,32953.36299
2219,Kol,1/5/2022,Hujan,4573.211273,4990.393731
2220,Buncis,1/5/2022,Hujan,2867.915807,3191.627866
2221,Sawi Putih,1/6/2022,Hujan,2951.030521,3172.012219
2222,Cabe Chilli,1/6/2022,Hujan,18702.63087,20955.97395
2223,Cabe Kriting,1/6/2022,Hujan,23779.87069,27538.5572
2224,Cabe Rawit,1/6/2022,Hujan,32762.5453,35499.17779
2225,Kol,1/6/2022,Hujan,2205.010142,2361.550341
2226,Buncis,1/6/2022,Hujan,4654.930901,5248.33808
2227,Sawi Putih,1/7/2022,Hujan,2854.454988,3027.581805
2228,Cabe Chilli,1/7/2022,Hujan,15874.21288,17338.35271
2229,Cabe Kriting,1/7/2022,Hujan,22853.51069,26691.42397
2230,Cabe Rawit,1/7/2022,Hujan,36040.42628,40689.61564
2231,Kol,1/7/2022,Hujan,3969.963025,4349.803916
2232,Buncis,1/7/2022,Hujan,3573.836383,4150.650865
2233,Sawi Putih,1/8/2022,Hujan,2194.807444,2544.287994
2234,Cabe Chilli,1/8/2022,Hujan,16435.73049,18317.9863
2235,Cabe Kriting,1/8/2022,Hujan,20308.27058,22097.74128
2236,Cabe Rawit,1/8/2022,Hujan,35193.01973,40497.48478
2237,Kol,1/8/2022,Hujan,4417.124517,4795.119313
2238,Buncis,1/8/2022,Hujan,4365.472441,4614.074875
2239,Sawi Putih,1/9/2022,Hujan,1098.767452,1202.182012
2240,Cabe Chilli,1/9/2022,Hujan,16494.80256,17780.93209
2241,Cabe Kriting,1/9/2022,Hujan,21610.65863,25212.59805
2242,Cabe Rawit,1/9/2022,Hujan,38464.15282,43478.15597
2243,Kol,1/9/2022,Hujan,2774.861957,3042.810835
2244,Buncis,1/9/2022,Hujan,4473.855869,4805.782609
2245,Sawi Putih,1/10/2022,Hujan,2718.938787,2953.535516
2246,Cabe Chilli,1/10/2022,Hujan,14979.89949,17574.53266
2247,Cabe Kriting,1/10/2022,Hujan,26952.90373,29598.517
2248,Cabe Rawit,1/10/2022,Hujan,32357.44157,36768.97059
2249,Kol,1/10/2022,Hujan,5213.931474,6012.489976
2250,Buncis,1/10/2022,Hujan,6477.320592,6893.21079
2251,Sawi Putih,1/11/2022,Hujan,1036.390252,1125.373946
2252,Cabe Chilli,1/11/2022,Hujan,17168.39631,18999.69347
2253,Cabe Kriting,1/11/2022,Hujan,21666.40791,24140.24734
2254,Cabe Rawit,1/11/2022,Hujan,33266.2892,36733.39471
2255,Kol,1/11/2022,Hujan,4341.703001,4943.421077
2256,Buncis,1/11/2022,Hujan,2776.160455,3114.173959
2257,Sawi Putih,1/12/2022,Hujan,1584.66903,1803.774002
2258,Cabe Chilli,1/12/2022,Hujan,16112.78294,17218.51901
2259,Cabe Kriting,1/12/2022,Hujan,24969.79668,27488.49484
2260,Cabe Rawit,1/12/2022,Hujan,31944.07592,37413.48009
2261,Kol,1/12/2022,Hujan,2290.390146,2442.183335
2262,Buncis,1/12/2022,Hujan,2689.329689,3062.23847
2263,Sawi Putih,1/13/2022,Hujan,1050.680864,1172.628125
2264,Cabe Chilli,1/13/2022,Hujan,17466.71756,19644.81209
2265,Cabe Kriting,1/13/2022,Hujan,24056.42673,26732.36417
2266,Cabe Rawit,1/13/2022,Hujan,33484.56869,36751.82113
2267,Kol,1/13/2022,Hujan,2134.908238,2262.2927
2268,Buncis,1/13/2022,Hujan,6101.393937,6742.465853
2269,Sawi Putih,1/14/2022,Hujan,3345.466238,3933.253048
2270,Cabe Chilli,1/14/2022,Hujan,19384.1486,21009.8533
2271,Cabe Kriting,1/14/2022,Hujan,28881.85112,30739.06303
2272,Cabe Rawit,1/14/2022,Hujan,37729.39159,39996.98576
2273,Kol,1/14/2022,Hujan,2747.702578,2898.062686
2274,Buncis,1/14/2022,Hujan,2172.694739,2455.147022
2275,Sawi Putih,1/15/2022,Hujan,3979.405855,4563.514189
2276,Cabe Chilli,1/15/2022,Hujan,15696.10447,17725.69304
2277,Cabe Kriting,1/15/2022,Hujan,23138.26977,25570.14769
2278,Cabe Rawit,1/15/2022,Hujan,32332.74638,37860.97739
2279,Kol,1/15/2022,Hujan,4579.034877,5204.371444
2280,Buncis,1/15/2022,Hujan,3926.72331,4393.129141
2281,Sawi Putih,1/16/2022,Hujan,2766.761352,3189.918393
2282,Cabe Chilli,1/16/2022,Hujan,19101.60485,20633.32398
2283,Cabe Kriting,1/16/2022,Hujan,27049.81199,29926.51811
2284,Cabe Rawit,1/16/2022,Hujan,28838.58509,33519.59779
2285,Kol,1/16/2022,Hujan,4581.403823,4908.444382
2286,Buncis,1/16/2022,Hujan,3770.830775,4256.327465
2287,Sawi Putih,1/17/2022,Hujan,1824.89813,2118.338854
2288,Cabe Chilli,1/17/2022,Hujan,14129.05262,15312.13869
2289,Cabe Kriting,1/17/2022,Hujan,21276.96114,24948.16418
2290,Cabe Rawit,1/17/2022,Hujan,31361.76229,36316.77758
2291,Kol,1/17/2022,Hujan,3030.7716,3387.165768
2292,Buncis,1/17/2022,Hujan,2604.07638,2798.889007
2293,Sawi Putih,1/18/2022,Hujan,2702.976546,3151.471909
2294,Cabe Chilli,1/18/2022,Hujan,19155.25372,22433.28866
2295,Cabe Kriting,1/18/2022,Hujan,21971.21058,25734.68134
2296,Cabe Rawit,1/18/2022,Hujan,33228.0036,35912.30262
2297,Kol,1/18/2022,Hujan,2915.28707,3077.330187
2298,Buncis,1/18/2022,Hujan,3148.381758,3488.231926
2299,Sawi Putih,1/19/2022,Hujan,3793.127938,4410.295815
2300,Cabe Chilli,1/19/2022,Hujan,17323.01117,18894.70567
2301,Cabe Kriting,1/19/2022,Hujan,25245.49031,26773.08328
2302,Cabe Rawit,1/19/2022,Hujan,43124.34589,46539.63929
2303,Kol,1/19/2022,Hujan,4967.620826,5757.311527
2304,Buncis,1/19/2022,Hujan,6690.927273,7213.122773
2305,Sawi Putih,1/20/2022,Hujan,570.2886142,627.5968704
2306,Cabe Chilli,1/20/2022,Hujan,14636.44391,16761.80122
2307,Cabe Kriting,1/20/2022,Hujan,28885.152,30660.1888
2308,Cabe Rawit,1/20/2022,Hujan,34008.68846,38330.68768
2309,Kol,1/20/2022,Hujan,5235.657199,5999.88895
2310,Buncis,1/20/2022,Hujan,3835.260657,4077.547645
2311,Sawi Putih,1/21/2022,Hujan,2703.807872,2882.000591
2312,Cabe Chilli,1/21/2022,Hujan,14901.96515,17172.4002
2313,Cabe Kriting,1/21/2022,Hujan,22485.57088,25630.13286
2314,Cabe Rawit,1/21/2022,Hujan,38073.05852,42316.34498
2315,Kol,1/21/2022,Hujan,4787.983957,5147.811614
2316,Buncis,1/21/2022,Hujan,2581.207705,2828.76384
2317,Sawi Putih,1/22/2022,Hujan,1145.131592,1242.858403
2318,Cabe Chilli,1/22/2022,Hujan,17541.16249,19727.59101
2319,Cabe Kriting,1/22/2022,Hujan,27925.13386,31076.80553
2320,Cabe Rawit,1/22/2022,Hujan,36669.72904,41485.81832
2321,Kol,1/22/2022,Hujan,6125.356716,6530.992377
2322,Buncis,1/22/2022,Hujan,4609.977397,4906.725788
2323,Sawi Putih,1/23/2022,Hujan,3659.515249,4098.497583
2324,Cabe Chilli,1/23/2022,Hujan,17667.56494,19568.86164
2325,Cabe Kriting,1/23/2022,Hujan,24846.20768,28025.98919
2326,Cabe Rawit,1/23/2022,Hujan,35001.56078,36881.10834
